"ST_NM","DISTRICT","region"
"Rajasthan","Churu","Desert"
"Tamil Nadu","The Nilgiris","WGhats"
"Tamil Nadu","Krishnagiri","Plains"
"Karnataka","Tumkur","Plains"
"Nagaland","Kohima","Plains"
"Manipur","Ukhrul","Plains"
"Nagaland","Kiphire","Plains"
"Nagaland","Phek","Plains"
"Maharashtra","Nagpur","Plains"
"Maharashtra","Amravati","Plains"
"Himachal Pradesh","Mandi","Plains"
"Gujarat","Amreli","Coast"
"Assam","Tinsukia","Plains"
"Arunanchal Pradesh","Lohit","Plains"
"Tamil Nadu","Erode","Plains"
"Maharashtra","Bid","Plains"
"Andhra Pradesh","Anantapur","Plains"
"Madhya Pradesh","Mandla","Plains"
"Karnataka","Chitradurga","Plains"
"Assam","Darrang","Plains"
"NCT of Delhi","North","Plains"
"Gujarat","Bhavnagar","Coast"
"Maharashtra","Jalgaon","Plains"
"Gujarat","Jamnagar","Coast"
"Rajasthan","Dhaulpur","Plains"
"NCT of Delhi","South","Plains"
"Rajasthan","Jaisalmer","Desert"
"Gujarat","Gandhinagar","Plains"
"Jharkhand","Sahibganj","Plains"
"Rajasthan","Sawai Madhopur","Plains"
"West Bengal","Jalpaiguri","North-east"
"Assam","Jorhat","Plains"
"West Bengal","Darjiling","North-east"
"Maharashtra","Akola","Plains"
"West Bengal","South 24 Parganas","Coast"
"NCT of Delhi","New Delhi","Plains"
"Tamil Nadu","Thiruvallur","Coast"
"Uttarakhand","Udham Singh Nagar","Plains"
"Uttar Pradesh","Bijnor","Plains"
"Uttar Pradesh","Jyotiba Phule Nagar","Plains"
"Uttar Pradesh","Ghaziabad","Plains"
"Haryana","Panchkula","Plains"
"Punjab","Amritsar","Plains"
"Gujarat","Kachchh","Desert"
"Uttar Pradesh","Agra","Plains"
"Uttar Pradesh","Varanasi","Plains"
"West Bengal","Bankura","Plains"
"West Bengal","Puruliya","Plains"
"Tamil Nadu","Tiruchirappalli","Plains"
"Andhra Pradesh","Krishna","Coast"
"Tamil Nadu","Sivaganga","Plains"
"Himachal Pradesh","Kinnaur","Plains"
"Andhra Pradesh","Chittoor","Plains"
"Maharashtra","Gondiya","Plains"
"Chandigarh","Chandigarh","Plains"
"Haryana","Jhajjar","Plains"
"Gujarat","Surat","Coast"
"Gujarat","Kheda","Plains"
"Maharashtra","Washim","Plains"
"Jammu & Kashmir","Kishtwar","Himalaya"
"Maharashtra","Chandrapur","Plains"
"Gujarat","Junagadh","Plains"
"West Bengal","Nadia","Plains"
"Himachal Pradesh","Solan","Plains"
"Tamil Nadu","Madurai","Plains"
"West Bengal","Birbhum","Plains"
"West Bengal","North 24 Parganas","Plains"
"West Bengal","Barddhaman","Plains"
"Madhya Pradesh","Shajapur","Plains"
"West Bengal","Haora","Plains"
"Andhra Pradesh","Sri Potti Sriramulu Nellore","Coast"
"Rajasthan","Jodhpur","Desert"
"Uttarakhand","Tehri Garhwal","Plains"
"Maharashtra","Garhchiroli","Plains"
"Arunanchal Pradesh","Tawang","Plains"
"Uttar Pradesh","Bulandshahr","Plains"
"Odisha","Ganjam","Coast"
"Rajasthan","Dausa","Plains"
"Odisha","Puri","Coast"
"Gujarat","Anand","Coast"
"Himachal Pradesh","Sirmaur","Plains"
"Maharashtra","Wardha","Plains"
"Gujarat","Narmada","Plains"
"Himachal Pradesh","Lahul & Spiti","Trans-Himalaya"
"Gujarat","Rajkot","Coast"
"West Bengal","Kolkata","Plains"
"Gujarat","Vadodara","Plains"
"Arunanchal Pradesh","Lower Dibang Valley","Plains"
"Rajasthan","Ajmer","Plains"
"Gujarat","Panch Mahals","Plains"
"Assam","Nagaon","Plains"
"Rajasthan","Pali","Plains"
"Maharashtra","Solapur","Plains"
"Rajasthan","Sirohi","Plains"
"Gujarat","Dohad","Plains"
"Sikkim","West","Plains"
"Sikkim","East","Plains"
"Haryana","Faridabad","Plains"
"Odisha","Gajapati","Plains"
"West Bengal","Hugli","Plains"
"Odisha","Khordha","Plains"
"Odisha","Kendrapara","Coast"
"West Bengal","Purba Medinipur","Coast"
"Sikkim","South","Plains"
"Bihar","Darbhanga","Plains"
"Bihar","Madhubani","Plains"
"Odisha","Anugul","Plains"
"Arunanchal Pradesh","Anjaw","Plains"
"Assam","Dibrugarh","Plains"
"Uttarakhand","Rudraprayag","Plains"
"Madhya Pradesh","Balaghat","Plains"
"Tamil Nadu","Thanjavur","Coast"
"Gujarat","Porbandar","Coast"
"Tamil Nadu","Nagappattinam","Plains"
"Tamil Nadu","Thiruvarur","Plains"
"Tamil Nadu","Karur","Plains"
"Gujarat","The Dangs","WGhats"
"Tamil Nadu","Cuddalore","Coast"
"NCT of Delhi","East","Plains"
"Andhra Pradesh","Visakhapatnam","Coast"
"Telangana","Mahbubnagar","Plains"
"Telangana","Warangal","Plains"
"Madhya Pradesh","Indore","Plains"
"Tamil Nadu","Pudukkottai","Coast"
"Haryana","Palwal","Plains"
"Maharashtra","Ratnagiri","WGhats"
"Madhya Pradesh","Sehore","Plains"
"Andhra Pradesh","East Godavari","Coast"
"Gujarat","Tapi","Plains"
"Arunanchal Pradesh","Upper Siang","Plains"
"Haryana","Hisar","Plains"
"Maharashtra","Jalna","Plains"
"Tamil Nadu","Vellore","Plains"
"Karnataka","Dharwad","Plains"
"Madhya Pradesh","Bhopal","Plains"
"Jammu & Kashmir","Doda","Himalaya"
"Jammu & Kashmir","Anantnag","Himalaya"
"Maharashtra","Yavatmal","Plains"
"Jammu & Kashmir","Udhampur","Himalaya"
"Gujarat","Sabar Kantha","Plains"
"Uttar Pradesh","Kanpur Nagar","Plains"
"Assam","Barpeta","Plains"
"Assam","Bongaigaon","Plains"
"Assam","Chirang","Plains"
"Puducherry","Mahe","Coast"
"Jammu & Kashmir","Ramban","Himalaya"
"Uttar Pradesh","Kheri","Plains"
"Tamil Nadu","Kanniyakumari","Coast"
"Assam","Goalpara","Plains"
"Chhattisgarh","Surguja","Plains"
"Chhattisgarh","Kabeerdham","Plains"
"Tamil Nadu","Tiruvannamalai","Plains"
"Andaman & Nicobar Island","Nicobar","Island"
"Madhya Pradesh","Chhindwara","Plains"
"Uttar Pradesh","Lalitpur","Plains"
"Uttar Pradesh","Rampur","Plains"
"Uttar Pradesh","Mahamaya Nagar","Plains"
"Rajasthan","Bundi","Plains"
"Uttar Pradesh","Mathura","Plains"
"Manipur","Imphal East","Plains"
"Madhya Pradesh","Hoshangabad","Plains"
"Assam","Karimganj","Plains"
"Karnataka","Bellary","Plains"
"Karnataka","Davanagere","Plains"
"Andhra Pradesh","West Godavari","Coast"
"Chhattisgarh","Bastar","Plains"
"Maharashtra","Nashik","Plains"
"Telangana","Karimnagar","Plains"
"West Bengal","Pashchim Medinipur","Plains"
"West Bengal","Murshidabad","Plains"
"Andhra Pradesh","Srikakulam","Coast"
"Andhra Pradesh","Vizianagaram","Coast"
"Tamil Nadu","Dharmapuri","Plains"
"Telangana","Adilabad","Plains"
"Arunanchal Pradesh","East Siang","Plains"
"Bihar","Araria","Plains"
"Bihar","Supaul","Plains"
"Assam","Udalguri","Plains"
"Karnataka","Gadag","Plains"
"Meghalaya","East Garo Hills","Plains"
"Haryana","Bhiwani","Plains"
"Haryana","Rohtak","Plains"
"Rajasthan","Jhunjhunun","Plains"
"Rajasthan","Sikar","Plains"
"Gujarat","Navsari","Plains"
"Karnataka","Bagalkot","Plains"
"Uttar Pradesh","Allahabad","Plains"
"Uttar Pradesh","Mainpuri","Plains"
"NCT of Delhi","Central","Plains"
"Assam","Sivasagar","Plains"
"Haryana","Karnal","Plains"
"Andhra Pradesh","Prakasam","Coast"
"Andhra Pradesh","Guntur","Coast"
"Tamil Nadu","Namakkal","Plains"
"Karnataka","Bidar","Plains"
"Karnataka","Gulbarga","Plains"
"Telangana","Nalgonda","Plains"
"Karnataka","Raichur","Plains"
"Chhattisgarh","Raigarh","Coast"
"Maharashtra","Osmanabad","Plains"
"Karnataka","Yadgir","Plains"
"Karnataka","Koppal","Plains"
"Karnataka","Haveri","Plains"
"Madhya Pradesh","Panna","Plains"
"Uttar Pradesh","Bahraich","Plains"
"Chhattisgarh","Raipur","Plains"
"Chhattisgarh","Durg","Plains"
"Madhya Pradesh","East Nimar","Plains"
"Madhya Pradesh","Morena","Plains"
"Punjab","Sahibzada Ajit Singh Nagar","Plains"
"Tamil Nadu","Ariyalur","Plains"
"Madhya Pradesh","Raisen","Plains"
"Madhya Pradesh","Rajgarh","Plains"
"Madhya Pradesh","Ratlam","Plains"
"NCT of Delhi","West","Plains"
"Madhya Pradesh","Tikamgarh","Plains"
"Madhya Pradesh","Shivpuri","Plains"
"Nagaland","Mokokchung","Plains"
"Rajasthan","Bhilwara","Plains"
"West Bengal","Maldah","Plains"
"NCT of Delhi","North West","Plains"
"Madhya Pradesh","Jabalpur","Plains"
"Maharashtra","Sangli","Plains"
"Uttar Pradesh","Etawah","Plains"
"Sikkim","North","Plains"
"Madhya Pradesh","Katni","Plains"
"Gujarat","Patan","Plains"
"Uttarakhand","Bageshwar","Plains"
"Chhattisgarh","Mahasamund","Plains"
"Jammu & Kashmir","Rajouri","Plains"
"Uttar Pradesh","Muzaffarnagar","Plains"
"Assam","Dhubri","Plains"
"Assam","Kokrajhar","Plains"
"Uttarakhand","Pithoragarh","Plains"
"Gujarat","Banas Kantha","Plains"
"Himachal Pradesh","Chamba","Plains"
"Assam","Karbi Anglong","Plains"
"Rajasthan","Karauli","Plains"
"Andhra Pradesh","Nizamabad","Plains"
"Odisha","Cuttack","Plains"
"Tripura","South Tripura","Plains"
"Tripura","West Tripura","Plains"
"Tripura","North Tripura","Plains"
"Uttar Pradesh","Meerut","Plains"
"Haryana","Panipat","Plains"
"Himachal Pradesh","Una","Plains"
"Punjab","Rupnagar","Plains"
"Uttar Pradesh","Pilibhit","Plains"
"Meghalaya","West Garo Hills","Plains"
"Andhra Pradesh","Y.s.r.","Plains"
"Uttarakhand","Champawat","Plains"
"Daman & Diu","Diu","Coast"
"Rajasthan","Barmer","Desert"
"Jammu & Kashmir","Data Not Available","Trans-Himalaya"
"NCT of Delhi","North East","Plains"
"Haryana","Sonipat","Plains"
"Haryana","Rewari","Plains"
"Madhya Pradesh","Gwalior","Plains"
"Punjab","Gurdaspur","Plains"
"West Bengal","Koch Bihar","North-east"
"Rajasthan","Nagaur","Plains"
"Maharashtra","Hingoli","Plains"
"Maharashtra","Bhandara","Plains"
"Chhattisgarh","Rajnandgaon","Plains"
"Chhattisgarh","Bilaspur","Plains"
"Chhattisgarh","Dhamtari","Plains"
"Madhya Pradesh","Seoni","Plains"
"Odisha","Sundargarh","Plains"
"Madhya Pradesh","Burhanpur","Plains"
"Telangana","Khammam","Plains"
"Punjab","Ludhiana","Plains"
"Uttar Pradesh","Moradabad","Plains"
"Meghalaya","Jaintia Hills","Plains"
"Uttar Pradesh","Saharanpur","Plains"
"Haryana","Kaithal","Plains"
"Assam","Cachar","Plains"
"Odisha","Baleshwar","Coast"
"Uttar Pradesh","Shrawasti","Plains"
"Punjab","Patiala","Plains"
"Punjab","Jalandhar","Plains"
"Uttar Pradesh","Firozabad","Plains"
"Uttar Pradesh","Etah","Plains"
"Nagaland","Peren","Plains"
"Madhya Pradesh","Dewas","Plains"
"Madhya Pradesh","Chhatarpur","Plains"
"Madhya Pradesh","Satna","Plains"
"Nagaland","Dimapur","Plains"
"Odisha","Bhadrak","Coast"
"Himachal Pradesh","Hamirpur","Plains"
"Nagaland","Zunheboto","Plains"
"Maharashtra","Dhule","Plains"
"Jammu & Kashmir","Badgam","Himalaya"
"Jammu & Kashmir","Ganderbal","Himalaya"
"Jammu & Kashmir","Baramula","Himalaya"
"Rajasthan","Jalor","Plains"
"Uttar Pradesh","Balrampur","Plains"
"Himachal Pradesh","Bilaspur","Plains"
"Haryana","Kurukshetra","Plains"
"Uttar Pradesh","Bara Banki","Plains"
"Bihar","Patna","Plains"
"Rajasthan","Hanumangarh","Plains"
"Bihar","Bhagalpur","Plains"
"Bihar","Munger","Plains"
"Odisha","Nayagarh","Plains"
"Madhya Pradesh","Neemuch","Plains"
"Madhya Pradesh","Damoh","Plains"
"Uttar Pradesh","Gorakhpur","Plains"
"Jharkhand","Pashchimi Singhbhum","Plains"
"Gujarat","Bharuch","Coast"
"Uttar Pradesh","Bareilly","Plains"
"Jammu & Kashmir","Jammu","Plains"
"Jammu & Kashmir","Kathua","Plains"
"Odisha","Sambalpur","Plains"
"Haryana","Yamunanagar","Plains"
"Uttar Pradesh","Rae Bareli","Plains"
"Odisha","Subarnapur","Plains"
"Odisha","Bargarh","Plains"
"Madhya Pradesh","West Nimar","Plains"
"Punjab","Bathinda","Plains"
"Bihar","Nalanda","Plains"
"Odisha","Kalahandi","Plains"
"Uttar Pradesh","Hardoi","Plains"
"Rajasthan","Rajsamand","Plains"
"Chhattisgarh","Dakshin Bastar Dantewada","Plains"
"Chhattisgarh","Uttar Bastar Kanker","Plains"
"Chhattisgarh","Narayanpur","Plains"
"Manipur","Tamenglong","Plains"
"Manipur","Bishnupur","Plains"
"Odisha","Dhenkanal","Plains"
"Chhattisgarh","Bijapur","Plains"
"Tamil Nadu","Perambalur","Plains"
"Rajasthan","Chittaurgarh","Plains"
"Rajasthan","Baran","Plains"
"Rajasthan","Kota","Plains"
"Rajasthan","Tonk","Plains"
"Madhya Pradesh","Betul","Plains"
"Arunanchal Pradesh","Dibang Valley","Plains"
"Chhattisgarh","Jashpur","Plains"
"Chhattisgarh","Koriya","Plains"
"Odisha","Jharsuguda","Plains"
"Punjab","Hoshiarpur","Plains"
"Rajasthan","Jhalawar","Plains"
"Madhya Pradesh","Mandsaur","Plains"
"Madhya Pradesh","Dhar","Plains"
"Madhya Pradesh","Barwani","Plains"
"Uttar Pradesh","Aligarh","Plains"
"Madhya Pradesh","Ujjain","Plains"
"Odisha","Jagatsinghapur","Coast"
"Daman & Diu","Daman","Coast"
"Dadara & Nagar Havelli","Dadra & Nagar Haveli","Coast"
"Mizoram","Champhai","Plains"
"Puducherry","Karaikal","Coast"
"Odisha","Koraput","Plains"
"Uttar Pradesh","Chandauli","Plains"
"Nagaland","Longleng","Plains"
"Assam","Lakhimpur","Plains"
"Madhya Pradesh","Sagar","Plains"
"Bihar","Gaya","Plains"
"Bihar","Vaishali","Plains"
"Bihar","Pashchim Champaran","Plains"
"Haryana","Fatehabad","Plains"
"Haryana","Jind","Plains"
"Maharashtra","Nandurbar","Plains"
"Bihar","Madhepura","Plains"
"Arunanchal Pradesh","West Siang","Plains"
"Jammu & Kashmir","Reasi","Himalaya"
"Arunanchal Pradesh","Papum Pare","Plains"
"Uttar Pradesh","Sultanpur","Plains"
"Assam","Nalbari","Plains"
"Gujarat","Valsad","Coast"
"Assam","Dhemaji","Plains"
"Punjab","Kapurthala","Plains"
"Jharkhand","Purbi Singhbhum","Plains"
"Odisha","Malkangiri","Plains"
"West Bengal","Uttar Dinajpur","Plains"
"Rajasthan","Banswara","Plains"
"Madhya Pradesh","Jhabua","Plains"
"Madhya Pradesh","Narsimhapur","Plains"
"Arunanchal Pradesh","Lower Subansiri","Plains"
"Manipur","Thoubal","Plains"
"Manipur","Senapati","Plains"
"Mizoram","Saiha","Plains"
"Manipur","Chandel","Plains"
"Maharashtra","Nanded","Plains"
"Maharashtra","Parbhani","Plains"
"Maharashtra","Latur","Plains"
"Lakshadweep","Lakshadweep","Coast"
"Madhya Pradesh","Dindori","Plains"
"Uttar Pradesh","Pratapgarh","Plains"
"Punjab","Moga","Plains"
"Punjab","Faridkot","Plains"
"Haryana","Mahendragarh","Plains"
"Punjab","Firozpur","Plains"
"Odisha","Mayurbhanj","Plains"
"Madhya Pradesh","Rewa","Plains"
"Jharkhand","Khunti","Plains"
"Jharkhand","Ranchi","Plains"
"Assam","Dima Hasao","Plains"
"Uttar Pradesh","Jalaun","Plains"
"Uttar Pradesh","Jhansi","Plains"
"Odisha","Jajapur","Plains"
"Bihar","Begusarai","Plains"
"Bihar","Samastipur","Plains"
"Bihar","Lakhisarai","Plains"
"Rajasthan","Dungarpur","Plains"
"Uttar Pradesh","Kaushambi","Plains"
"Uttar Pradesh","Maharajganj","Plains"
"Odisha","Nabarangapur","Plains"
"Madhya Pradesh","Singrauli","Plains"
"Madhya Pradesh","Sheopur","Plains"
"Jammu & Kashmir","Punch","Himalaya"
"Jammu & Kashmir","Shupiyan","Himalaya"
"Jammu & Kashmir","Pulwama","Himalaya"
"Uttar Pradesh","Farrukhabad","Plains"
"Madhya Pradesh","Bhind","Plains"
"Manipur","Churachandpur","Plains"
"Assam","Hailakandi","Plains"
"Odisha","Rayagada","Plains"
"Uttar Pradesh","Budaun","Plains"
"Uttar Pradesh","Mirzapur","Plains"
"Uttar Pradesh","Faizabad","Plains"
"Bihar","Purnia","Plains"
"Bihar","Katihar","Plains"
"Uttar Pradesh","Shahjahanpur","Plains"
"Jharkhand","Hazaribagh","Plains"
"Jharkhand","Dhanbad","Plains"
"Uttar Pradesh","Gonda","Plains"
"Jharkhand","Saraikela-kharsawan","Plains"
"Chhattisgarh","Korba","Plains"
"Jharkhand","Bokaro","Plains"
"Jammu & Kashmir","Bandipore","Himalaya"
"Madhya Pradesh","Vidisha","Plains"
"Arunanchal Pradesh","Tirap","Plains"
"Odisha","Kendujhar","Plains"
"Mizoram","Kolasib","Plains"
"Haryana","Sirsa","Plains"
"Uttar Pradesh","Hamirpur","Plains"
"Mizoram","Lunglei","Plains"
"Jharkhand","Dumka","Plains"
"Jharkhand","Palamu","Plains"
"Madhya Pradesh","Sidhi","Plains"
"Jharkhand","Latehar","Plains"
"West Bengal","Dakshin Dinajpur","Plains"
"Meghalaya","West Khasi Hills","Plains"
"Mizoram","Lawangtlai","Plains"
"Uttar Pradesh","Sitapur","Plains"
"Uttar Pradesh","Kanpur Dehat","Plains"
"Haryana","Mewat","Plains"
"Bihar","Kishanganj","Plains"
"Rajasthan","Ganganagar","Plains"
"Punjab","Mansa","Plains"
"Punjab","Shahid Bhagat Singh Nagar","Plains"
"Uttar Pradesh","Kannauj","Plains"
"Jammu & Kashmir","Kulgam","Himalaya"
"Uttar Pradesh","Sonbhadra","Plains"
"Odisha","Kandhamal","Plains"
"Bihar","Purba Champaran","Plains"
"Bihar","Jamui","Plains"
"Jharkhand","Giridih","Plains"
"Jharkhand","Ramgarh","Plains"
"Haryana","Ambala","Plains"
"Jammu & Kashmir","Kupwara","Himalaya"
"Uttar Pradesh","Ambedkar Nagar","Plains"
"Bihar","Muzaffarpur","Plains"
"Uttar Pradesh","Chitrakoot","Plains"
"Uttar Pradesh","Azamgarh","Plains"
"Uttar Pradesh","Ghazipur","Plains"
"Bihar","Khagaria","Plains"
"Puducherry","Yanam","Coast"
"Madhya Pradesh","Guna","Plains"
"Jharkhand","Garhwa","Plains"
"Madhya Pradesh","Anuppur","Plains"
"Chhattisgarh","Janjgir-champa","Plains"
"Jharkhand","Chatra","Plains"
"Bihar","Saran (chhapra)","Plains"
"Manipur","Imphal West","Plains"
"Tripura","Dhalai","Plains"
"Jharkhand","Deoghar","Plains"
"Uttar Pradesh","Fatehpur","Plains"
"Bihar","Sheikhpura","Plains"
"Bihar","Aurangabad","Plains"
"Madhya Pradesh","Harda","Plains"
"Odisha","Balangir","Plains"
"Bihar","Bhojpur","Plains"
"Bihar","Kaimur (bhabua)","Plains"
"Bihar","Buxar","Plains"
"Uttar Pradesh","Sant Kabir Nagar","Plains"
"Bihar","Sitamarhi","Plains"
"Uttar Pradesh","Baghpat","Plains"
"Uttar Pradesh","Auraiya","Plains"
"Uttar Pradesh","Banda","Plains"
"Uttar Pradesh","Jaunpur","Plains"
"Madhya Pradesh","Alirajpur","Plains"
"Bihar","Rohtas","Plains"
"Uttar Pradesh","Kushinagar","Plains"
"Jharkhand","Gumla","Plains"
"Madhya Pradesh","Datia","Plains"
"Madhya Pradesh","Ashoknagar","Plains"
"Uttar Pradesh","Mau","Plains"
"Madhya Pradesh","Shahdol","Plains"
"Jharkhand","Simdega","Plains"
"Odisha","Debagarh","Plains"
"Punjab","Sangrur","Plains"
"Odisha","Nuapada","Plains"
"Arunanchal Pradesh","Upper Subansiri","Plains"
"Uttar Pradesh","Basti","Plains"
"Jharkhand","Pakur","Plains"
"Jharkhand","Lohardaga","Plains"
"Uttar Pradesh","Ballia","Plains"
"Bihar","Arwal","Plains"
"Mizoram","Serchhip","Plains"
"Jharkhand","Godda","Plains"
"Uttar Pradesh","Siddharth Nagar","Plains"
"Uttar Pradesh","Mahoba","Plains"
