"COMMON.NAME","SCIENTIFIC.NAME"
"Western Yellow Wagtail","Motacilla flava"
"Asian Emerald Dove","Chalcophaps indica"
"Forest Wagtail","Dendronanthus indicus"
"Common Hill Myna","Gracula religiosa"
"Hooded Pitta","Pitta sordida"
"Narcondam Hornbill","Rhyticeros narcondami"
"Pied Imperial-Pigeon","Ducula bicolor"
"Slaty-legged Crake","Rallina eurizonoides"
"White-breasted Waterhen","Amaurornis phoenicurus"
"Yellow-browed Warbler","Phylloscopus inornatus"
"Yellow Bittern","Ixobrychus sinensis"
"Andaman Boobook","Ninox affinis"
"Andaman Shama","Copsychus albiventris"
"Andaman Teal","Anas albogularis"
"Andaman Scops-Owl","Otus balli"
"Andaman Wood-Pigeon","Columba palumboides"
"Asian Brown Flycatcher","Muscicapa dauurica"
"Andaman Masked-Owl","Tyto deroepstorffi"
"Besra","Accipiter virgatus"
"Black-hooded Oriole","Oriolus xanthornus"
"Brown-backed Needletail","Hirundapus giganteus"
"Hume's Boobook","Ninox obscura"
"Crab-Plover","Dromas ardeola"
"Crested Serpent-Eagle","Spilornis cheela"
"White-nest Swiftlet","Aerodramus fuciphagus"
"Eurasian Curlew","Numenius arquata"
"Eyebrowed Thrush","Turdus obscurus"
"Freckle-breasted Woodpecker","Dendrocopos analis"
"Nicobar Imperial-Pigeon","Ducula nicobarica"
"Gray Wagtail","Motacilla cinerea"
"Indian Pond-Heron","Ardeola grayii"
"Large Cuckooshrike","Coracina macei"
"Little Egret","Egretta garzetta"
"Oriental Scops-Owl","Otus sunia"
"Ruddy Kingfisher","Halcyon coromanda"
"Scarlet Minivet","Pericrocotus speciosus"
"Siberian Stonechat","Saxicola maurus"
"Violet Cuckoo","Chrysococcyx xanthorhynchus"
"White-rumped Munia","Lonchura striata"
"Wood Sandpiper","Tringa glareola"
"Blue-eared Kingfisher","Alcedo meninting"
"Common Redshank","Tringa totanus"
"Indian Golden Oriole","Oriolus kundoo"
"Gray-faced Buzzard","Butastur indicus"
"House Crow","Corvus splendens"
"Red-rumped Swallow","Cecropis daurica"
"Blue-winged Pitta","Pitta moluccensis"
"Andaman Nightjar","Caprimulgus andamanicus"
"Barn Swallow","Hirundo rustica"
"Blue-tailed Bee-eater","Merops philippinus"
"Pacific Golden-Plover","Pluvialis fulva"
"Peregrine Falcon","Falco peregrinus"
"Red-breasted Parakeet","Psittacula alexandri"
"Stork-billed Kingfisher","Pelargopsis capensis"
"Thick-billed Warbler","Arundinax aedon"
"Changeable Hawk-Eagle","Nisaetus limnaeetus"
"Common Snipe","Gallinago gallinago"
"Great Egret","Ardea alba"
"Brahminy Kite","Haliastur indus"
"House Sparrow","Passer domesticus"
"Lesser Whistling-Duck","Dendrocygna javanica"
"Little Tern","Sternula albifrons"
"Oriental White-eye","Zosterops palpebrosus"
"Striated Heron","Butorides striata"
"Orange-headed Thrush","Geokichla citrina"
"Nicobar Pigeon","Caloenas nicobarica"
"Slaty-breasted Rail","Lewinia striata"
"Ashy Minivet","Pericrocotus divaricatus"
"Common Kingfisher","Alcedo atthis"
"Lesser Crested Tern","Thalasseus bengalensis"
"Dusky Warbler","Phylloscopus fuscatus"
"Mangrove Whistler","Pachycephala cinerea"
"Gray Heron","Ardea cinerea"
"European Roller","Coracias garrulus"
"Lesser Sand-Plover","Charadrius mongolus"
"Green Sandpiper","Tringa ochropus"
"Andaman Cuckooshrike","Coracina dobsoni"
"Oriental Honey-buzzard","Pernis ptilorhynchus"
"Great Crested Tern","Thalasseus bergii"
"Marsh Sandpiper","Tringa stagnatilis"
"Richard's Pipit","Anthus richardi"
"White-winged Tern","Chlidonias leucopterus"
"Ashy Drongo","Dicrurus leucophaeus"
"Chinese Egret","Egretta eulophotes"
"Cinnamon Bittern","Ixobrychus cinnamomeus"
"Chinese Sparrowhawk","Accipiter soloensis"
"Taiga Flycatcher","Ficedula albicilla"
"Wood Snipe","Gallinago nemoricola"
"Zappey's Flycatcher","Cyanoptila cumatilis"
"Black-backed Dwarf-Kingfisher","Ceyx erithaca"
"Eurasian Moorhen","Gallinula chloropus"
"Rosy Starling","Pastor roseus"
"Kentish Plover","Charadrius alexandrinus"
"Oriental Plover","Charadrius veredus"
"Lanceolated Warbler","Locustella lanceolata"
"Arctic Warbler","Phylloscopus borealis"
"Ruddy Turnstone","Arenaria interpres"
"Greater Sand-Plover","Charadrius leschenaultii"
"Little Stint","Calidris minuta"
"Long-toed Stint","Calidris subminuta"
"Oriental Reed Warbler","Acrocephalus orientalis"
"Eurasian Kestrel","Falco tinnunculus"
"Gray-headed Swamphen","Porphyrio poliocephalus"
"Watercock","Gallicrex cinerea"
"Pin-tailed Snipe","Gallinago stenura"
"Red-breasted Flycatcher","Ficedula parva"
"Black-bellied Plover","Pluvialis squatarola"
"Bar-tailed Godwit","Limosa lapponica"
"Broad-billed Sandpiper","Calidris falcinellus"
"Curlew Sandpiper","Calidris ferruginea"
"Eastern Yellow Wagtail","Motacilla tschutschensis"
"Little Ringed Plover","Charadrius dubius"
"Red-necked Stint","Calidris ruficollis"
"Ruddy-breasted Crake","Zapornia fusca"
"Common Greenshank","Tringa nebularia"
"Great Knot","Calidris tenuirostris"
"Sanderling","Calidris alba"
"Black-browed Reed Warbler","Acrocephalus bistrigiceps"
"Spotted Redshank","Tringa erythropus"
"Baillon's Crake","Zapornia pusilla"
"Black-tailed Godwit","Limosa limosa"
"Pallas's Grasshopper-Warbler","Locustella certhiola"
"Black Drongo","Dicrurus macrocercus"
"Terek Sandpiper","Xenus cinereus"
"Eurasian Marsh-Harrier","Circus aeruginosus"
"Clamorous Reed Warbler","Acrocephalus stentoreus"
"Oriental Pratincole","Glareola maldivarum"
"Cotton Pygmy-Goose","Nettapus coromandelianus"
"Pheasant-tailed Jacana","Hydrophasianus chirurgus"
"Roseate Tern","Sterna dougallii"
"Citrine Wagtail","Motacilla citreola"
"Eurasian Coot","Fulica atra"
"Purple Heron","Ardea purpurea"
"Blyth's Paradise-Flycatcher","Terpsiphone affinis"
"Eurasian Wigeon","Mareca penelope"
"Garganey","Spatula querquedula"
"Red-crested Pochard","Netta rufina"
"Indian Peafowl","Pavo cristatus"
"White Wagtail","Motacilla alba"
"Mugimaki Flycatcher","Ficedula mugimaki"
"Osprey","Pandion haliaetus"
"Whiskered Tern","Chlidonias hybrida"
"Pale-footed Bush Warbler","Urosphena pallidipes"
"Black-winged Stilt","Himantopus himantopus"
"Gray-headed Lapwing","Vanellus cinereus"
"Little Grebe","Tachybaptus ruficollis"
"Gray-bellied Cuckoo","Cacomantis passerinus"
"Asian Emerald Cuckoo","Chrysococcyx maculatus"
"Ferruginous Duck","Aythya nyroca"
"Little Cormorant","Microcarbo niger"
"Chestnut-winged Cuckoo","Clamator coromandus"
"Daurian Starling","Agropsar sturninus"
"Scaly-breasted Munia","Lonchura punctulata"
"Gray Nightjar","Caprimulgus jotaka"
"Eurasian Wryneck","Jynx torquilla"
"Japanese Sparrowhawk","Accipiter gularis"
"Pied Harrier","Circus melanoleucos"
"Red-throated Pipit","Anthus cervinus"
"Blyth's Swift","Apus leuconyx"
"Himalayan Cuckoo","Cuculus saturatus"
"Hodgson's Hawk-Cuckoo","Hierococcyx nisicolor"
"Javan Pond-Heron","Ardeola speciosa"
"Pectoral Sandpiper","Calidris melanotos"
"Gray Francolin","Francolinus pondicerianus"
"Black Kite","Milvus migrans"
"Blue-throated Flycatcher","Cyornis rubeculoides"
"Nicobar Parakeet","Psittacula caniceps"
"Amur Paradise-Flycatcher","Terpsiphone incei"
"Greater Painted-Snipe","Rostratula benghalensis"
"Large Hawk-Cuckoo","Hierococcyx sparverioides"
"Square-tailed Drongo-Cuckoo","Surniculus lugubris"
"Black-crowned Night-Heron","Nycticorax nycticorax"
"Chestnut-cheeked Starling","Agropsar philippensis"
"Mandarin Duck","Aix galericulata"
"Pied Triller","Lalage nigra"
"Rock Pigeon","Columba livia"
"Montagu's Harrier","Circus pygargus"
"Small Pratincole","Glareola lactea"
"White-throated Needletail","Hirundapus caudacutus"
"Black Bittern","Ixobrychus flavicollis"
"Red-vented Bulbul","Pycnonotus cafer"
"Lesser Frigatebird","Fregata ariel"
"Temminck's Stint","Calidris temminckii"
"Black Noddy","Anous minutus"
"Red-tailed Tropicbird","Phaethon rubricauda"
"Crimson Sunbird","Aethopyga siparaja"
"Malayan Night-Heron","Gorsachius melanolophus"
"Nicobar Scrubfowl","Megapodius nicobariensis"
"Nicobar Serpent-Eagle","Spilornis klossi"
"Nicobar Bulbul","Hypsipetes nicobariensis"
"Nicobar Jungle-Flycatcher","Cyornis nicobaricus"
"Nicobar Sparrowhawk","Accipiter butleri"
"Brown Boobook","Ninox scutulata"
"Nicobar Scops-Owl","Otus alius"
"Asian Openbill","Anastomus oscitans"
"Zitting Cisticola","Cisticola juncidis"
"Amur Falcon","Falco amurensis"
"Masked Booby","Sula dactylatra"
"Sooty Tern","Onychoprion fuscatus"
"Horsfield's Bronze-Cuckoo","Chrysococcyx basalis"
"Jerdon's Courser","Rhinoptilus bitorquatus"
"Indian Silverbill","Euodice malabarica"
"Jungle Babbler","Turdoides striata"
"Jungle Prinia","Prinia sylvatica"
"Tawny-bellied Babbler","Dumetia hyperythra"
"Ashy-crowned Sparrow-Lark","Eremopterix griseus"
"Bay-backed Shrike","Lanius vittatus"
"Common Iora","Aegithina tiphia"
"Common Tailorbird","Orthotomus sutorius"
"Common Woodshrike","Tephrodornis pondicerianus"
"Indian Robin","Copsychus fulicatus"
"Jerdon's Bushlark","Mirafra affinis"
"Jerdon's Leafbird","Chloropsis jerdoni"
"Pied Bushchat","Saxicola caprata"
"Plain Prinia","Prinia inornata"
"White-bellied Drongo","Dicrurus caerulescens"
"White-browed Wagtail","Motacilla maderaspatensis"
"Yellow-eyed Babbler","Chrysomma sinense"
"White Stork","Ciconia ciconia"
"Eurasian Collared-Dove","Streptopelia decaocto"
"Rose-ringed Parakeet","Psittacula krameri"
"Painted Stork","Mycteria leucocephala"
"Indian Gray Hornbill","Ocyceros birostris"
"Pied Cuckoo","Clamator jacobinus"
"Brahminy Starling","Sturnia pagodarum"
"Purple Sunbird","Cinnyris asiaticus"
"Purple-rumped Sunbird","Leptocoma zeylonica"
"Tawny Lark","Galerida deva"
"Eurasian Sparrowhawk","Accipiter nisus"
"Yellow-wattled Lapwing","Vanellus malabaricus"
"Jungle Myna","Acridotheres fuscus"
"Tawny Pipit","Anthus campestris"
"Blyth's Reed Warbler","Acrocephalus dumetorum"
"Common Babbler","Turdoides caudata"
"Green Bee-eater","Merops orientalis"
"Gray-necked Bunting","Emberiza buchanani"
"Indian Bushlark","Mirafra erythroptera"
"Laughing Dove","Streptopelia senegalensis"
"Little Swift","Apus affinis"
"Paddyfield Pipit","Anthus rufulus"
"Red Avadavat","Amandava amandava"
"Red-wattled Lapwing","Vanellus indicus"
"River Tern","Sterna aurantia"
"Shikra","Accipiter badius"
"Sykes's Warbler","Iduna rama"
"White-eyed Buzzard","Butastur teesa"
"White-tailed Iora","Aegithina nigrolutea"
"Yellow-billed Babbler","Turdoides affinis"
"Indian Nightjar","Caprimulgus asiaticus"
"Asian Palm-Swift","Cypsiurus balasiensis"
"Baya Weaver","Ploceus philippinus"
"Black-winged Kite","Elanus caeruleus"
"Blue-faced Malkoha","Phaenicophaeus viridirostris"
"Common Hawk-Cuckoo","Hierococcyx varius"
"Glossy Ibis","Plegadis falcinellus"
"Greater Coucal","Centropus sinensis"
"Eurasian Hoopoe","Upupa epops"
"Indian Roller","Coracias benghalensis"
"Indian Spot-billed Duck","Anas poecilorhyncha"
"Jungle Bush-Quail","Perdicula asiatica"
"Long-tailed Shrike","Lanius schach"
"Pale-billed Flowerpecker","Dicaeum erythrorhynchos"
"Spotted Owlet","Athene brama"
"Wire-tailed Swallow","Hirundo smithii"
"Ashy Woodswallow","Artamus fuscus"
"Barred Buttonquail","Turnix suscitator"
"Bonelli's Eagle","Aquila fasciata"
"Booted Eagle","Hieraaetus pennatus"
"Chestnut-bellied Sandgrouse","Pterocles exustus"
"Coppersmith Barbet","Psilopogon haemacephalus"
"Pallid Harrier","Circus macrourus"
"Rufous-tailed Lark","Ammomanes phoenicura"
"White-browed Bulbul","Pycnonotus luteolus"
"Ashy Prinia","Prinia socialis"
"Dusky Crag-Martin","Ptyonoprogne concolor"
"Gray-breasted Prinia","Prinia hodgsonii"
"Red-naped Ibis","Pseudibis papillosa"
"Short-toed Snake-Eagle","Circaetus gallicus"
"Spotted Dove","Streptopelia chinensis"
"Woolly-necked Stork","Ciconia episcopus"
"Indian Spotted Eagle","Clanga hastata"
"Indian Paradise-Flycatcher","Terpsiphone paradisi"
"Chestnut-shouldered Petronia","Gymnornis xanthocollis"
"Egyptian Vulture","Neophron percnopterus"
"Eurasian Spoonbill","Platalea leucorodia"
"Indian Scimitar-Babbler","Pomatorhinus horsfieldii"
"Jack Snipe","Lymnocryptes minimus"
"Large Gray Babbler","Turdoides malcolmi"
"Lesser Whitethroat","Sylvia curruca"
"Northern Pintail","Anas acuta"
"Great Gray Shrike","Lanius excubitor"
"Painted Spurfowl","Galloperdix lunulata"
"Pied Kingfisher","Ceryle rudis"
"Plum-headed Parakeet","Psittacula cyanocephala"
"Rufous Treepie","Dendrocitta vagabunda"
"Crested Hawk-Eagle","Nisaetus cirrhatus"
"Hume's Whitethroat","Sylvia althaea"
"Painted Sandgrouse","Pterocles indicus"
"Rufous-fronted Prinia","Prinia buchanani"
"Sirkeer Malkoha","Taccocua leschenaultii"
"Streak-throated Woodpecker","Picus xanthopygaeus"
"Tawny Eagle","Aquila rapax"
"Western Crowned Warbler","Phylloscopus occipitalis"
"Crested Treeswift","Hemiprocne coronata"
"Indian Cormorant","Phalacrocorax fuscicollis"
"Black-headed Ibis","Threskiornis melanocephalus"
"Oriental Darter","Anhinga melanogaster"
"Great Cormorant","Phalacrocorax carbo"
"Tricolored Munia","Lonchura malacca"
"Long-billed Pipit","Anthus similis"
"Common Cuckoo","Cuculus canorus"
"Spot-billed Pelican","Pelecanus philippensis"
"Blue Rock-Thrush","Monticola solitarius"
"Gray Junglefowl","Gallus sonneratii"
"Indian Courser","Cursorius coromandelicus"
"Oriental Skylark","Alauda gulgula"
"Bar-headed Goose","Anser indicus"
"Bluethroat","Luscinia svecica"
"Blyth's Pipit","Anthus godlewskii"
"Booted Warbler","Iduna caligata"
"Ruddy Shelduck","Tadorna ferruginea"
"Sykes's Short-toed Lark","Calandrella dukhunensis"
"Streak-throated Swallow","Petrochelidon fluvicola"
"Black-rumped Flameback","Dinopium benghalense"
"Long-billed Sunbird","Cinnyris lotenius"
"Cinereous Tit","Parus cinereus"
"White-naped Tit","Machlolophus nuchalis"
"Eastern Orphean Warbler","Sylvia crassirostris"
"Common Pochard","Aythya ferina"
"White-naped Woodpecker","Chrysocolaptes festivus"
"Black-headed Cuckooshrike","Lalage melanoptera"
"Golden-fronted Leafbird","Chloropsis aurifrons"
"Tree Pipit","Anthus trivialis"
"Verditer Flycatcher","Eumyias thalassinus"
"Northern Shoveler","Spatula clypeata"
"Brown-capped Woodpecker","Yungipicus nanus"
"Rain Quail","Coturnix coromandelica"
"White-cheeked Barbet","Psilopogon viridis"
"Tickell's Leaf Warbler","Phylloscopus affinis"
"Green-winged Teal","Anas crecca"
"Olive-backed Pipit","Anthus hodgsoni"
"Spot-breasted Fantail","Rhipidura albogularis"
"Chestnut-tailed Starling","Sturnia malabarica"
"Heart-spotted Woodpecker","Hemicircus canente"
"Red Spurfowl","Galloperdix spadicea"
"Indian Pitta","Pitta brachyura"
"Alpine Swift","Apus melba"
"Greater Flamingo","Phoenicopterus roseus"
"Banded Bay Cuckoo","Cacomantis sonneratii"
"Black Eagle","Ictinaetus malaiensis"
"Puff-throated Babbler","Pellorneum ruficeps"
"Yellow-throated Bulbul","Pycnonotus xantholaemus"
"Brown-headed Barbet","Psilopogon zeylanicus"
"Thick-billed Flowerpecker","Dicaeum agile"
"Hair-crested Drongo","Dicrurus hottentottus"
"Mottled Wood-Owl","Strix ocellata"
"Indian Vulture","Gyps indicus"
"White-browed Fantail","Rhipidura aureola"
"Yellow-footed Pigeon","Treron phoenicopterus"
"Indian Scops-Owl","Otus bakkamoena"
"Tickell's Blue Flycatcher","Cyornis tickelliae"
"White-rumped Shama","Copsychus malabaricus"
"Barn Owl","Tyto alba"
"Steppe Eagle","Aquila nipalensis"
"Brown-breasted Flycatcher","Muscicapa muttui"
"Jerdon's Nightjar","Caprimulgus atripennis"
"Common Rosefinch","Carpodacus erythrinus"
"Savanna Nightjar","Caprimulgus affinis"
"Brown-cheeked Fulvetta","Alcippe poioicephala"
"Lesser Yellownape","Picus chlorolophus"
"Large-billed Leaf Warbler","Phylloscopus magnirostris"
"Blue-capped Rock-Thrush","Monticola cinclorhyncha"
"Black Redstart","Phoenicurus ochruros"
"Ultramarine Flycatcher","Ficedula superciliaris"
"Indian Blackbird","Turdus simillimus"
"Greater Spotted Eagle","Clanga clanga"
"Sulphur-bellied Warbler","Phylloscopus griseolus"
"Tickell's Thrush","Turdus unicolor"
"Rock Bush-Quail","Perdicula argoondah"
"Eurasian Hobby","Falco subbuteo"
"Indian Yellow Tit","Machlolophus aplonotus"
"Indian Blue Robin","Larvivora brunnea"
"Jungle Nightjar","Caprimulgus indicus"
"Yellow-legged Buttonquail","Turnix tanki"
"Bar-winged Flycatcher-shrike","Hemipus picatus"
"Gray-headed Canary-Flycatcher","Culicicapa ceylonensis"
"Oriental Turtle-Dove","Streptopelia orientalis"
"Bronzed Drongo","Dicrurus aeneus"
"European Bee-eater","Merops apiaster"
"Green Warbler","Phylloscopus nitidus"
"Paddyfield Warbler","Acrocephalus agricola"
"Yellow-browed Bulbul","Iole indica"
"Bronze-winged Jacana","Metopidius indicus"
"White-throated Fantail","Rhipidura albicollis"
"Asian Pied Starling","Gracupica contra"
"Jungle Owlet","Glaucidium radiatum"
"Gray-fronted Green-Pigeon","Treron affinis"
"Brown Fish-Owl","Ketupa zeylonensis"
"Western Reef-Heron","Egretta gularis"
"Black-throated Munia","Lonchura kelaarti"
"Brown-headed Gull","Chroicocephalus brunnicephalus"
"Eurasian Woodcock","Scolopax rusticola"
"Small Buttonquail","Turnix sylvaticus"
"Bengal Weaver","Ploceus benghalensis"
"Caspian Tern","Hydroprogne caspia"
"Hume's Warbler","Phylloscopus humei"
"Common Grasshopper-Warbler","Locustella naevia"
"Common Quail","Coturnix coturnix"
"Indian Thick-knee","Burhinus indicus"
"Red-necked Falcon","Falco chicquera"
"Common Chiffchaff","Phylloscopus collybita"
"River Lapwing","Vanellus duvaucelii"
"Black Stork","Ciconia nigra"
"Knob-billed Duck","Sarkidiornis melanotos"
"Streaked Weaver","Ploceus manyar"
"Tufted Duck","Aythya fuligula"
"Yellow-crowned Woodpecker","Leiopicus mahrattensis"
"Black-headed Bunting","Emberiza melanocephala"
"Black-bellied Tern","Sterna acuticauda"
"Gull-billed Tern","Gelochelidon nilotica"
"Pin-striped Tit-Babbler","Mixornis gularis"
"Black-headed Gull","Chroicocephalus ridibundus"
"Dunlin","Calidris alpina"
"Great Thick-knee","Esacus recurvirostris"
"White-rumped Vulture","Gyps bengalensis"
"Caspian Plover","Charadrius asiaticus"
"Gadwall","Mareca strepera"
"Long-legged Buzzard","Buteo rufinus"
"Blue-bearded Bee-eater","Nyctyornis athertoni"
"Black-crested Bulbul","Rubigula flaviventris"
"Indian Nuthatch","Sitta castanea"
"Fulvous-breasted Woodpecker","Dendrocopos macei"
"Green-billed Malkoha","Phaenicophaeus tristis"
"Greater Flameback","Chrysocolaptes guttacristatus"
"Malabar Trogon","Harpactes fasciatus"
"Red Junglefowl","Gallus gallus"
"Rosy Minivet","Pericrocotus roseus"
"Velvet-fronted Nuthatch","Sitta frontalis"
"Jerdon's Baza","Aviceda jerdoni"
"Rufous Woodpecker","Micropternus brachyurus"
"Speckled Piculet","Picumnus innominatus"
"Greater Yellownape","Chrysophlegma flavinucha"
"Large Woodshrike","Tephrodornis virgatus"
"Orange-breasted Pigeon","Treron bicinctus"
"Crested Goshawk","Accipiter trivirgatus"
"Malabar Pied-Hornbill","Anthracoceros coronatus"
"Malabar Whistling-Thrush","Myophonus horsfieldii"
"Fork-tailed Drongo-Cuckoo","Surniculus dicruroides"
"Little Spiderhunter","Arachnothera longirostra"
"Gray Treepie","Dendrocitta formosae"
"Gray-headed Woodpecker","Picus canus"
"White-rumped Needletail","Zoonavena sylvatica"
"Brown Crake","Zapornia akool"
"Pale-chinned Blue Flycatcher","Cyornis poliogenys"
"Spot-bellied Eagle-Owl","Bubo nipalensis"
"Large-tailed Nightjar","Caprimulgus macrurus"
"Ruby-cheeked Sunbird","Chalcoparia singalensis"
"Pallas's Gull","Ichthyaetus ichthyaetus"
"Indian Spotted Creeper","Salpornis spilonota"
"Common Tern","Sterna hirundo"
"Ruff","Calidris pugnax"
"Sandwich Tern","Thalasseus sandvicensis"
"Tytler's Leaf Warbler","Phylloscopus tytleri"
"Pale-capped Pigeon","Columba punicea"
"Abbott's Babbler","Turdinus abbotti"
"Rufous-bellied Eagle","Lophotriorchis kienerii"
"Pied Avocet","Recurvirostra avosetta"
"Eurasian Oystercatcher","Haematopus ostralegus"
"Lesser Black-backed Gull","Larus fuscus"
"Pied Thrush","Geokichla wardii"
"Indian Skimmer","Rynchops albicollis"
"Brown Wood-Owl","Strix leptogrammica"
"Rusty-tailed Flycatcher","Ficedula ruficauda"
"Southern Hill Myna","Gracula indica"
"Lesser Adjutant","Leptoptilos javanicus"
"Great White Pelican","Pelecanus onocrotalus"
"Red-headed Bunting","Emberiza bruniceps"
"Fulvous Whistling-Duck","Dendrocygna bicolor"
"Great Bittern","Botaurus stellaris"
"Demoiselle Crane","Anthropoides virgo"
"Laggar Falcon","Falco jugger"
"Lesser Kestrel","Falco naumanni"
"Painted Francolin","Francolinus pictus"
"Short-eared Owl","Asio flammeus"
"Gray-throated Martin","Riparia chinensis"
"Isabelline Wheatear","Oenanthe isabellina"
"Greater Short-toed Lark","Calandrella brachydactyla"
"Black-winged Cuckooshrike","Lalage melaschistos"
"Eurasian Griffon","Gyps fulvus"
"Lesser Flamingo","Phoeniconaias minor"
"Bridled Tern","Onychoprion anaethetus"
"Siberian Rubythroat","Calliope calliope"
"Common Ringed Plover","Charadrius hiaticula"
"Asian Dowitcher","Limnodromus semipalmatus"
"Water Rail","Rallus aquaticus"
"Slender-billed Gull","Chroicocephalus genei"
"Lesser Noddy","Anous tenuirostris"
"Sarus Crane","Antigone antigone"
"Great Crested Grebe","Podiceps cristatus"
"Golden-spectacled Warbler","Phylloscopus burkii"
"Bank Myna","Acridotheres ginginianus"
"Brown Noddy","Anous stolidus"
"Thick-billed Pigeon","Treron curvirostra"
"Plaintive Cuckoo","Cacomantis merulinus"
"Bank Swallow","Riparia riparia"
"Eurasian Tree Sparrow","Passer montanus"
"Gray-hooded Warbler","Phylloscopus xanthoschistos"
"Little Bunting","Emberiza pusilla"
"Silver-eared Mesia","Leiothrix argentauris"
"Striated Yuhina","Yuhina castaniceps"
"Yellow-bellied Fairy-Fantail","Chelidorhynx hypoxanthus"
"Asian Barred Owlet","Glaucidium cuculoides"
"Ashy-throated Warbler","Phylloscopus maculipennis"
"Beautiful Sibia","Heterophasia pulchella"
"Black-eared Shrike-Babbler","Pteruthius melanotis"
"Brownish-flanked Bush Warbler","Horornis fortipes"
"Black-headed Shrike-Babbler","Pteruthius rufiventer"
"Black-browed Tit","Aegithalos iouschistos"
"Black-headed Greenfinch","Chloris ambigua"
"Black Bulbul","Hypsipetes leucocephalus"
"Black-chinned Yuhina","Yuhina nigrimenta"
"Blue-fronted Redstart","Phoenicurus frontalis"
"Blue-throated Barbet","Psilopogon asiaticus"
"Black-throated Sunbird","Aethopyga saturata"
"Blue Whistling-Thrush","Myophonus caeruleus"
"Blyth's Shrike-Babbler","Pteruthius aeralatus"
"Sikkim Treecreeper","Certhia discolor"
"Chestnut-bellied Rock-Thrush","Monticola rufiventris"
"Chestnut-crowned Warbler","Phylloscopus castaniceps"
"Chestnut-eared Bunting","Emberiza fucata"
"Coal Tit","Periparus ater"
"Himalayan Buzzard","Buteo refectus"
"Crested Bunting","Emberiza lathami"
"Dark-breasted Rosefinch","Procarduelis nipalensis"
"Daurian Redstart","Phoenicurus auroreus"
"Hodgson's Treecreeper","Certhia hodgsoni"
"Fire-breasted Flowerpecker","Dicaeum ignipectus"
"Flavescent Bulbul","Pycnonotus flavescens"
"Greater Necklaced Laughingthrush","Ianthocincla pectoralis"
"Golden Bush-Robin","Tarsiger chrysaeus"
"Godlewski's Bunting","Emberiza godlewskii"
"Golden Babbler","Cyanoderma chrysaeum"
"Golden-throated Barbet","Psilopogon franklinii"
"Green-backed Tit","Parus monticolus"
"Great Barbet","Psilopogon virens"
"Common Green-Magpie","Cissa chinensis"
"Green Shrike-Babbler","Pteruthius xanthochlorus"
"Green-tailed Sunbird","Aethopyga nipalensis"
"Gray Bushchat","Saxicola ferreus"
"Gray-backed Shrike","Lanius tephronotus"
"Gray-chinned Minivet","Pericrocotus solaris"
"Gray-cheeked Warbler","Phylloscopus poliogenys"
"Gray-capped Woodpecker","Yungipicus canicapillus"
"Gray-sided Bush Warbler","Cettia brunnifrons"
"Gray-throated Babbler","Stachyris nigriceps"
"Hodgson's Redstart","Phoenicurus hodgsoni"
"House Swift","Apus nipalensis"
