"Common Name","Scientific Name","Long-term Analysis","Current change Analysis","Subcontinental Endemics","Himalayan/NE Near-Endemics","Significant - Indian Context","Not Relevant - Indian Context","Diurnal","Selected - SOIB"
"Griffon Vulture","Gyps fulvus","X","X","","","","","X","X"
"Nicobar Serpent Eagle","Spilornis klossi","","","X","","","","X","X"
"Crested Serpent Eagle","Spilornis cheela","X","X","","","","","X","X"
"Andaman Serpent Eagle","Spilornis elgini","","X","X","","","","X","X"
"Short-toed Snake Eagle","Circaetus gallicus","X","X","","","","","X","X"
"Changeable Hawk Eagle","Nisaetus cirrhatus","","","","","","","X",""
"Mountain Hawk-Eagle","Nisaetus nipalensis","X","X","","","","","X","X"
"Legge's Hawk-Eagle","Nisaetus kelaarti","","","X","","","","X","X"
"Rufous-bellied Eagle","Lophotriorchis kienerii","X","X","","","","","X","X"
"Black Eagle","Ictinaetus malaiensis","X","X","","","","","X","X"
"Indian Spotted Eagle","Clanga hastata","X","X","","","X","","X","X"
"Greater Spotted Eagle","Clanga clanga","X","X","","","","","X","X"
"Booted Eagle","Hieraaetus pennatus","X","X","","","","","X","X"
"Tawny Eagle","Aquila rapax","X","X","","","X","","X","X"
"Steppe Eagle","Aquila nipalensis","X","X","","","X","","X","X"
"Eastern Imperial Eagle","Aquila heliaca","","X","","","","","X","X"
"Golden Eagle","Aquila chrysaetos","","X","","","","","X","X"
"Bonelli's Eagle","Aquila fasciata","X","X","","","X","","X","X"
"White-eyed Buzzard","Butastur teesa","X","X","","","","","X","X"
"Grey-faced Buzzard","Butastur indicus","","","","","","X","X",""
"Western Marsh Harrier","Circus aeruginosus","X","X","","","","","X","X"
"Eastern Marsh Harrier","Circus spilonotus","","","","","","X","X",""
"Hen Harrier","Circus cyaneus","","","","","","","X",""
"Pallid Harrier","Circus macrourus","X","X","","","X","","X","X"
"Pied Harrier","Circus melanoleucos","","","","","","","X",""
"Montagu's Harrier","Circus pygargus","X","X","","","X","","X","X"
"Crested Goshawk","Accipiter trivirgatus","X","X","","","","","X","X"
"Shikra","Accipiter badius","X","X","","","X","","X","X"
"Nicobar Sparrowhawk","Accipiter butleri","","","X","","","","X","X"
"Chinese Sparrowhawk","Accipiter soloensis","","","","","","X","X",""
"Japanese Sparrowhawk","Accipiter gularis","","","","","","X","X",""
"Besra","Accipiter virgatus","X","X","","","","","X","X"
"Eurasian Sparrowhawk","Accipiter nisus","X","X","","","","","X","X"
"Northern Goshawk","Accipiter gentilis","","","","","","","X",""
"Red Kite","Milvus milvus","","","","","","X","X",""
"Black Kite","Milvus migrans","X","X","","","","","X","X"
"Brahminy Kite","Haliastur indus","X","X","","","X","","X","X"
"White-tailed Sea Eagle","Haliaeetus albicilla","","","","","","X","X",""
"Pallas's Fish Eagle","Haliaeetus leucoryphus","X","X","","","X","","X","X"
"White-bellied Sea Eagle","Haliaeetus leucogaster","X","X","","","","","X","X"
"Lesser Fish Eagle","Icthyophaga humilis","","X","","","X","","X","X"
"Grey-headed Fish Eagle","Icthyophaga ichthyaetus","X","X","","","","","X","X"
"Common Buzzard","Buteo buteo","","X","","","","","X","X"
"Himalayan Buzzard","Buteo refectus","X","X","","","","","X","X"
"Long-legged Buzzard","Buteo rufinus","X","X","","","","","X","X"
"Upland Buzzard","Buteo hemilasius","","","","","","","X",""
"Eastern Grass Owl","Tyto longimembris","","","","","","X","",""
"Common Barn Owl","Tyto alba","","","","","X","","",""
"Andaman Barn Owl","Tyto deroepstorffi","","","X","","","","",""
"Oriental Bay Owl","Phodilus badius","","","","","","","",""
"Sri Lanka Bay Owl","Phodilus assimilis","","","X","","","","",""
"Andaman Scops Owl","Otus balli","","","X","","","","",""
"Mountain Scops Owl","Otus spilocephalus","","","","","","","",""
"Indian Scops Owl","Otus bakkamoena","","","X","","","","",""
"Collared Scops Owl","Otus lettia","","","","","","","",""
"Nicobar Scops Owl","Otus alius","","","X","","","","",""
"Eurasian Scops Owl","Otus scops","","","","","","X","",""
"Pallid Scops Owl","Otus brucei","","","","","","","",""
"Oriental Scops Owl","Otus sunia","","","","","","","",""
"Eurasian Eagle Owl","Bubo bubo","","","","","","X","",""
"Indian Eagle Owl","Bubo bengalensis","","","X","","","","",""
"Spot-bellied Eagle Owl","Bubo nipalensis","","","","","","","",""
"Dusky Eagle Owl","Bubo coromandus","","","","","X","","X","X"
"Brown Fish Owl","Ketupa zeylonensis","X","X","","","X","","X","X"
"Tawny Fish Owl","Ketupa flavipes","","","","","X","","",""
"Buffy Fish Owl","Ketupa ketupu","","","","","","X","",""
"Collared Owlet","Glaucidium brodiei","X","X","","","","","X","X"
"Asian Barred Owlet","Glaucidium cuculoides","X","X","","","","","X","X"
"Jungle Owlet","Glaucidium radiatum","X","X","X","","","","X","X"
"Spotted Owlet","Athene brama","","","","","X","","",""
"Little Owl","Athene noctua","","","","","","","X",""
"Forest Owlet","Heteroglaux blewitti","","","X","","","","X","X"
"Mottled Wood Owl","Strix ocellata","","","X","","","","",""
"Brown Wood Owl","Strix leptogrammica","","","","","X","","",""
"Tawny Owl","Strix aluco","","","","","","","",""
"Himalayan Owl","Strix nivicolum","","","","","","","",""
"Northern Long-eared Owl","Asio otus","","","","","","X","",""
"Short-eared Owl","Asio flammeus","","X","","","","","X","X"
"Boreal Owl","Aegolius funereus","","","","","","X","",""
"Andaman Hawk Owl","Ninox affinis","","","X","","","","",""
"Brown Hawk Owl","Ninox scutulata","","","","","","","",""
"Hume's Hawk Owl","Ninox obscura","","","X","","","","",""
"Malabar Trogon","Harpactes fasciatus","X","X","X","","","","X","X"
"Red-headed Trogon","Harpactes erythrocephalus","","X","","","","","X","X"
"Ward's Trogon","Harpactes wardi","","","","X","X","","X","X"
"Common Hoopoe","Upupa epops","X","X","","","","","X","X"
"Great Hornbill","Buceros bicornis","X","X","","","X","","X","X"
"Austen's Brown Hornbill","Anorrhinus austeni","","","","","X","","X","X"
"Indian Grey Hornbill","Ocyceros birostris","X","X","X","","","","X","X"
"Malabar Grey Hornbill","Ocyceros griseus","X","X","X","","","","X","X"
"Malabar Pied Hornbill","Anthracoceros coronatus","X","X","X","","","","X","X"
"Oriental Pied Hornbill","Anthracoceros albirostris","X","X","","","X","","X","X"
"Rufous-necked Hornbill","Aceros nipalensis","","X","","","X","","X","X"
"Wreathed Hornbill","Rhyticeros undulatus","","","","","X","","X","X"
"Narcondam Hornbill","Rhyticeros narcondami","","","X","","","","X","X"
"Blyth's Kingfisher","Alcedo hercules","","","","","","","X",""
"Common Kingfisher","Alcedo atthis","X","X","","","","","X","X"
"Blue-eared Kingfisher","Alcedo meninting","","X","","","X","","X","X"
"Oriental Dwarf Kingfisher","Ceyx erithaca","","X","","","X","","X","X"
"Rufous-backed Dwarf-Kingfisher","Ceyx rufidorsa","","","","","","X","X",""
"Brown-winged Kingfisher","Pelargopsis amauroptera","","","","","","","X",""
"Stork-billed Kingfisher","Pelargopsis capensis","X","X","","","","","X","X"
"Ruddy Kingfisher","Halcyon coromanda","","","","","","","X",""
"White-throated Kingfisher","Halcyon smyrnensis","X","X","","","","","X","X"
"Black-capped Kingfisher","Halcyon pileata","X","X","","","","","X","X"
"Collared Kingfisher","Todiramphus chloris","","X","","","","","X","X"
"Crested Kingfisher","Megaceryle lugubris","X","X","","","","","X","X"
"Pied Kingfisher","Ceryle rudis","X","X","","","","","X","X"
"Blue-bearded Bee-eater","Nyctyornis athertoni","X","X","","","X","","X","X"
"Green Bee-eater","Merops orientalis","X","X","","","","","X","X"
"Blue-throated Bee-eater","Merops viridis","","","","","","X","X",""
"Blue-cheeked Bee-eater","Merops persicus","","X","","","","","X","X"
"Blue-tailed Bee-eater","Merops philippinus","X","X","","","","","X","X"
"European Bee-eater","Merops apiaster","","","","","","","X",""
"Chestnut-headed Bee-eater","Merops leschenaulti","X","X","","","","","X","X"
"European Roller","Coracias garrulus","","X","","","","","X","X"
"Indian Roller","Coracias benghalensis","X","X","","","X","","X","X"
"Indochinese Roller","Coracias affinis","","","","","","","X",""
"Dollarbird","Eurystomus orientalis","X","X","","","","","X","X"
"Malabar Barbet","Psilopogon malabaricus","X","X","X","","","","X","X"
"Coppersmith Barbet","Psilopogon haemacephalus","X","X","","","","","X","X"
"Blue-eared Barbet","Psilopogon duvaucelii","","X","","","","","X","X"
"Great Barbet","Psilopogon virens","X","X","","","","","X","X"
"Lineated Barbet","Psilopogon lineatus","X","X","","","","","X","X"
"Brown-headed Barbet","Psilopogon zeylanicus","X","X","X","","","","X","X"
"White-cheeked Barbet","Psilopogon viridis","X","X","X","","","","X","X"
"Golden-throated Barbet","Psilopogon franklinii","","X","","","","","X","X"
"Blue-throated Barbet","Psilopogon asiaticus","X","X","","","","","X","X"
"Yellow-rumped Honeyguide","Indicator xanthonotus","","","","X","","","X","X"
"Eurasian Wryneck","Jynx torquilla","X","X","","","","","X","X"
"Speckled Piculet","Picumnus innominatus","X","X","","","X","","X","X"
"White-browed Piculet","Sasia ochracea","","X","","","","","X","X"
"Heart-spotted Woodpecker","Hemicircus canente","X","X","","","X","","X","X"
"Brown-capped Pygmy Woodpecker","Dendrocopos nanus","X","X","X","","","","X","X"
"Grey-capped Pygmy Woodpecker","Dendrocopos canicapillus","X","X","","","","","X","X"
"Yellow-fronted Pied Woodpecker","Leiopicus mahrattensis","X","X","","","X","","X","X"
"Brown-fronted Pied Woodpecker","Dendrocopos auriceps","X","X","","X","X","","X","X"
"Rufous-bellied Woodpecker","Dendrocopos hyperythrus","","X","","","","","X","X"
"Fulvous-breasted Pied Woodpecker","Dendrocopos macei","X","X","","","X","","X","X"
"Spot-breasted Pied Woodpecker","Dendrocopos analis","","","","","","","X",""
"Stripe-breasted Pied Woodpecker","Dendrocopos atratus","","","","","","X","X",""
"Darjeeling Pied Woodpecker","Dendrocopos darjellensis","","","","","X","","X","X"
"Great Spotted Woodpecker","Dendrocopos major","","","","","","X","X",""
"Himalayan Pied Woodpecker","Dendrocopos himalayensis","X","X","","X","","","X","X"
"Sind Pied Woodpecker","Dendrocopos assimilis","","","","","","X","X",""
"Crimson-breasted Pied Woodpecker","Dendrocopos cathpharius","","","","","","","X",""
"Bay Woodpecker","Blythipicus pyrrhotis","","X","","","","","X","X"
"Greater Golden-backed Woodpecker","Chrysocolaptes guttacristatus","X","X","","","","","X","X"
"White-naped Woodpecker","Chrysocolaptes festivus","X","X","X","","","","X","X"
"Rufous Woodpecker","Micropternus brachyurus","X","X","","","","","X","X"
"Pale-headed Woodpecker","Gecinulus grantia","","","","","X","","X","X"
"Himalayan Golden-backed Woodpecker","Dinopium shorii","X","X","","X","X","","X","X"
"Common Golden-backed Woodpecker","Dinopium javanense","","X","","","X","","X","X"
"Lesser Golden-backed Woodpecker","Dinopium benghalense","X","X","X","","","","X","X"
"Lesser Yellow-naped Woodpecker","Picus chlorolophus","X","X","","","","","X","X"
"Streak-throated Woodpecker","Picus xanthopygaeus","X","X","","","X","","X","X"
"Scaly-bellied Woodpecker","Picus squamatus","","X","","X","","","X","X"
"Grey-headed Woodpecker","Picus canus","X","X","","","","","X","X"
"Greater Yellow-naped Woodpecker","Chrysophlegma flavinucha","X","X","","","","","X","X"
"Great Slaty Woodpecker","Mulleripicus pulverulentus","","","","","X","","X","X"
"White-bellied Woodpecker","Dryocopus javensis","X","X","","","X","","X","X"
"Andaman Woodpecker","Dryocopus hodgei","","","X","","","","X","X"
"Collared Falconet","Microhierax caerulescens","","","","","X","","X","X"
"Pied Falconet","Microhierax melanoleucos","","","","","","","X",""
"Lesser Kestrel","Falco naumanni","","","","","","","X",""
"Common Kestrel","Falco tinnunculus","X","X","","","","","X","X"
"Red-necked Falcon","Falco chicquera","X","X","","","X","","X","X"
"Red-footed Falcon","Falco vespertinus","","","","","","X","X",""
"Amur Falcon","Falco amurensis","","X","","","X","","X","X"
"Merlin","Falco columbarius","","","","","","","X",""
"Eurasian Hobby","Falco subbuteo","","X","","","","","X","X"
"Oriental Hobby","Falco severus","","","","","","","X",""
"Laggar Falcon","Falco jugger","","X","","","X","","X","X"
"Saker Falcon","Falco cherrug","","","","","","","X",""
"Peregrine Falcon","Falco peregrinus","X","X","","","","","X","X"
"Alexandrine Parakeet","Psittacula eupatria","X","X","","","X","","X","X"
"Rose-ringed Parakeet","Psittacula krameri","X","X","","","X","","X","X"
"Slaty-headed Parakeet","Psittacula himalayana","X","X","X","X","","","X","X"
"Grey-headed Parakeet","Psittacula finschii","","","","","","","X",""
"Plum-headed Parakeet","Psittacula cyanocephala","X","X","X","","","","X","X"
"Blossom-headed Parakeet","Psittacula roseata","","","","","","","X",""
"Malabar Parakeet","Psittacula columboides","X","X","X","","","","X","X"
"Lord Derby's Parakeet","Psittacula derbiana","","","","","","X","X",""
"Red-breasted Parakeet","Psittacula alexandri","X","X","","","","","X","X"
"Nicobar Parakeet","Psittacula caniceps","","","X","","","","X","X"
"Long-tailed Parakeet","Psittacula longicauda","","X","X","","","","X","X"
"Vernal Hanging Parrot","Loriculus vernalis","X","X","","","","","X","X"
"Long-tailed Broadbill","Psarisomus dalhousiae","","X","","","","","X","X"
"Silver-breasted Broadbill","Serilophus lunatus","","","","","","","X",""
"Blue-naped Pitta","Hydrornis nipalensis","","","","","X","","X","X"
"Blue Pitta","Hydrornis cyaneus","","","","","","X","X",""
"Indian Pitta","Pitta brachyura","X","X","X","","","","X","X"
"Blue-winged Pitta","Pitta moluccensis","","","","","","X","X",""
"Hooded Pitta","Pitta sordida","","","","","","","X",""
"Mangrove Pitta","Pitta megarhyncha","","","","","","","X",""
"Malabar Woodshrike","Tephrodornis sylvicola","X","X","X","","","","X","X"
"Large Woodshrike","Tephrodornis virgatus","X","X","","","","","X","X"
"Common Woodshrike","Tephrodornis pondicerianus","X","X","","","X","","X","X"
"Bar-winged Flycatcher-shrike","Hemipus picatus","X","X","","","","","X","X"
"Ashy Woodswallow","Artamus fuscus","X","X","","","X","","X","X"
"White-breasted Woodswallow","Artamus leucoryn","","","","","","X","X",""
"Common Iora","Aegithina tiphia","X","X","","","","","X","X"
"Marshall's Iora","Aegithina nigrolutea","","X","X","","","","X","X"
"White-bellied Minivet","Pericrocotus erythropygius","","X","X","","","","X","X"
"Small Minivet","Pericrocotus cinnamomeus","X","X","","","X","","X","X"
"Grey-chinned Minivet","Pericrocotus solaris","","","","","","","X",""
"Short-billed Minivet","Pericrocotus brevirostris","X","X","","","","","X","X"
"Long-tailed Minivet","Pericrocotus ethologus","X","X","","","","","X","X"
"Orange Minivet","Pericrocotus flammeus","X","X","X","","","","X","X"
"Scarlet Minivet","Pericrocotus speciosus","X","X","","","","","X","X"
"Ashy Minivet","Pericrocotus divaricatus","","","","","","X","X",""
"Swinhoe's Minivet","Pericrocotus cantonensis","","","","","","X","X",""
"Rosy Minivet","Pericrocotus roseus","","","","","","","X",""
"Large Cuckooshrike","Coracina javensis","X","X","","","","","X","X"
"Andaman Cuckooshrike","Coracina dobsoni","","","X","","","","X","X"
"Pied Triller","Lalage nigra","","","","","","X","X",""
"Black-winged Cuckooshrike","Lalage melaschistos","X","X","","","","","X","X"
"Black-headed Cuckooshrike","Lalage melanoptera","X","X","X","","","","X","X"
"Mangrove Whistler","Pachycephala cinerea","","","","","","","X",""
"Red-backed Shrike","Lanius collurio","","","","","","","X",""
"Red-tailed Shrike","Lanius phoenicuroides","","","","","","X","X",""
"Isabelline Shrike","Lanius isabellinus","X","X","","","X","","X","X"
"Brown Shrike","Lanius cristatus","X","X","","","X","","X","X"
"Burmese Shrike","Lanius collurioides","","","","","","","X",""
"Bay-backed Shrike","Lanius vittatus","X","X","","","X","","X","X"
"Long-tailed Shrike","Lanius schach","X","X","","","","","X","X"
"Grey-backed Shrike","Lanius tephronotus","X","X","","","","","X","X"
"Great Grey Shrike","Lanius excubitor","X","X","","","","","X","X"
"Lesser Grey Shrike","Lanius minor","","","","","","X","X",""
"Masked Shrike","Lanius nubicus","","","","","","","X",""
"Woodchat Shrike","Lanius senator","","","","","","X","X",""
"Black-headed Shrike-babbler","Pteruthius rufiventer","","","","X","","","X","X"
"Himalayan Shrike-babbler","Pteruthius ripleyi","","","","X","X","","X","X"
"Blyth's Shrike-babbler","Pteruthius aeralatus","","","","","","","X",""
"Green Shrike-babbler","Pteruthius xanthochlorus","","X","","","X","","X","X"
"Black-eared Shrike-babbler","Pteruthius melanotis","","","","","","","X",""
"Clicking Shrike-babbler","Pteruthius intermedius","","","","","","X","X",""
"White-bellied Erpornis","Erpornis zantholeuca","","X","","","","","X","X"
"Eurasian Golden Oriole","Oriolus oriolus","","","","","","X","X",""
"Indian Golden Oriole","Oriolus kundoo","X","X","","","X","","X","X"
"Black-naped Oriole","Oriolus chinensis","X","X","","","","","X","X"
"Slender-billed Oriole","Oriolus tenuirostris","","","","","","","X",""
"Black-hooded Oriole","Oriolus xanthornus","X","X","","","X","","X","X"
"Maroon Oriole","Oriolus traillii","X","X","","","","","X","X"
"Black Drongo","Dicrurus macrocercus","X","X","","","","","X","X"
"Ashy Drongo","Dicrurus leucophaeus","X","X","","","","","X","X"
"White-bellied Drongo","Dicrurus caerulescens","X","X","X","","","","X","X"
"Crow-billed Drongo","Dicrurus annectens","","","","","","","X",""
"Bronzed Drongo","Dicrurus aeneus","X","X","","","","","X","X"
"Lesser Racket-tailed Drongo","Dicrurus remifer","X","X","","","","","X","X"
"Hair-crested Drongo","Dicrurus hottentottus","X","X","","","X","","X","X"
"Andaman Drongo","Dicrurus andamanensis","","X","X","","","","X","X"
"Greater Racket-tailed Drongo","Dicrurus paradiseus","X","X","","","","","X","X"
"White-throated Fantail","Rhipidura albicollis","X","X","","","","","X","X"
"White-spotted Fantail","Rhipidura albogularis","X","X","X","","","","X","X"
"White-browed Fantail","Rhipidura aureola","X","X","","","X","","X","X"
"Black-naped Monarch","Hypothymis azurea","X","X","","","","","X","X"
"Amur Paradise-flycatcher","Terpsiphone incei","","","","","","X","X",""
"Blyth's Paradise-flycatcher","Terpsiphone affinis","","","","","","X","X",""
"Indian Paradise-flycatcher","Terpsiphone paradisi","X","X","","","X","","X","X"
"Eurasian Jay","Garrulus glandarius","","X","","","","","X","X"
"Black-headed Jay","Garrulus lanceolatus","X","X","","X","","","X","X"
"Yellow-billed Blue Magpie","Urocissa flavirostris","X","X","","X","","","X","X"
"Red-billed Blue Magpie","Urocissa erythroryncha","X","X","","","","","X","X"
"Common Green Magpie","Cissa chinensis","X","X","","","","","X","X"
"Rufous Treepie","Dendrocitta vagabunda","X","X","","","","","X","X"
"Grey Treepie","Dendrocitta formosae","X","X","","","","","X","X"
"White-bellied Treepie","Dendrocitta leucogastra","X","X","X","","","","X","X"
"Collared Treepie","Dendrocitta frontalis","","X","","","X","","X","X"
"Andaman Treepie","Dendrocitta bayleii","","","X","","","","X","X"
"Eurasian Magpie","Pica pica","","","","","","","X",""
"Spotted Nutcracker","Nucifraga caryocatactes","","","","","","","X",""
"Large-spotted Nutcracker","Nucifraga multipunctata","","","","X","","","X","X"
"Red-billed Chough","Pyrrhocorax pyrrhocorax","X","X","","","","","X","X"
"Yellow-billed Chough","Pyrrhocorax graculus","","X","","","","","X","X"
"Eurasian Jackdaw","Corvus monedula","","","","","","","X",""
"House Crow","Corvus splendens","X","X","","","","","X","X"
"Rook","Corvus frugilegus","","","","","","X","X",""
"Carrion Crow","Corvus corone","","","","","","","X",""
"Hooded Crow","Corvus cornix","","","","","","X","X",""
"Large-billed Crow","Corvus macrorhynchos","X","X","","","","","X","X"
"Pied Crow","Corvus albus","","","","","","X","X",""
"Common Raven","Corvus corax","","X","","","","","X","X"
"Greater Hoopoe Lark","Alaemon alaudipes","","","","","","","X",""
"Rufous-tailed Lark","Ammomanes phoenicura","X","X","X","","","","X","X"
"Desert Lark","Ammomanes deserti","","","","","","","X",""
"Black-crowned Sparrow Lark","Eremopterix nigriceps","","","","","","","X",""
"Ashy-crowned Sparrow Lark","Eremopterix griseus","X","X","X","","","","X","X"
"Singing Bushlark","Mirafra cantillans","","X","","","","","X","X"
"Bengal Bushlark","Mirafra assamica","","X","X","","","","X","X"
"Jerdon's Bushlark","Mirafra affinis","X","X","X","","","","X","X"
"Indian Bushlark","Mirafra erythroptera","X","X","X","","","","X","X"
"Horned Lark","Eremophila alpestris","","","","","","","X",""
"Greater Short-toed Lark","Calandrella brachydactyla","X","X","","","","","X","X"
"Sykes's Short-toed Lark","Calandrella dukhunensis","","","","","X","","X","X"
"Hume's Short-toed Lark","Calandrella acutirostris","","","","","","","X",""
"Bimaculated Lark","Melanocorypha bimaculata","","","","","","","X",""
"Tibetan Lark","Melanocorypha maxima","","","","","","X","X",""
"Lesser Short-toed Lark","Alaudala rufescens","","","","","","X","X",""
"Sand Lark","Alaudala raytal","X","X","","","X","","X","X"
"Eurasian Skylark","Alauda arvensis","","","","","","","X",""
"Oriental Skylark","Alauda gulgula","X","X","","","","","X","X"
"Crested Lark","Galerida cristata","X","X","","","","","X","X"
"Malabar Lark","Galerida malabarica","X","X","X","","","","X","X"
"Sykes's Lark","Galerida deva","","X","X","","","","X","X"
"Grey-throated Martin","Riparia chinensis","X","X","","","","","X","X"
"Sand Martin","Riparia riparia","","","","","","","X",""
"Pale Martin","Riparia diluta","","","","","","","X",""
"Eurasian Crag Martin","Ptyonoprogne rupestris","X","X","","","","","X","X"
"Dusky Crag Martin","Ptyonoprogne concolor","X","X","","","X","","X","X"
"Barn Swallow","Hirundo rustica","X","X","","","","","X","X"
"Wire-tailed Swallow","Hirundo smithii","X","X","","","","","X","X"
"Hill Swallow","Hirundo domicola","","X","X","","","","X","X"
"Pacific Swallow","Hirundo tahitica","","","","","","X","X",""
"Red-rumped Swallow","Cecropis daurica","X","X","","","","","X","X"
"Striated Swallow","Cecropis striolata","","","","","","","X",""
"Streak-throated Swallow","Petrochelidon fluvicola","X","X","","","X","","X","X"
"Northern House Martin","Delichon urbicum","","","","","","","X",""
"Asian House Martin","Delichon dasypus","","","","","","","X",""
"Nepal House Martin","Delichon nipalense","","X","","","X","","X","X"
"Yellow-bellied Fairy-fantail","Chelidorhynx hypoxanthus","X","X","","","","","X","X"
"Grey-headed Canary-flycatcher","Culicicapa ceylonensis","X","X","","","X","","X","X"
"Fire-capped Tit","Cephalopyrus flammiceps","","","","","X","","X","X"
"Yellow-browed Tit","Sylviparus modestus","X","X","","","","","X","X"
"Sultan Tit","Melanochlora sultanea","","X","","","","","X","X"
"Coal Tit","Periparus ater","X","X","","","","","X","X"
"Rufous-naped Tit","Periparus rufonuchalis","","X","","","X","","X","X"
"Rufous-vented Tit","Periparus rubidiventris","","X","","","","","X","X"
"Grey-crested Tit","Lophophanes dichrous","","X","","","","","X","X"
"Azure Tit","Cyanistes cyanus","","","","","","X","X",""
"Ground Tit","Pseudopodoces humilis","","","","","","","X",""
"Green-backed Tit","Parus monticolus","X","X","","","","","X","X"
"Cinereous Tit","Parus cinereus","X","X","","","","","X","X"
"White-naped Tit","Machlolophus nuchalis","","","X","","","","X","X"
"Himalayan Black-lored Tit","Machlolophus xanthogenys","X","X","","X","","","X","X"
"Indian Yellow Tit","Machlolophus aplonotus","X","X","X","","","","X","X"
"Yellow-cheeked Tit","Machlolophus spilonotus","","X","","","","","X","X"
"White-crowned Penduline Tit","Remiz coronatus","","","","","","X","X",""
"White-browed Tit Warbler","Leptopoecile sophiae","","","","","","","X",""
"Crested Tit Warbler","Leptopoecile elegans","","","","","","X","X",""
"White-cheeked Tit","Aegithalos leucogenys","","","","X","","X","X",""
"Black-throated Tit","Aegithalos concinnus","X","X","","","","","X","X"
"White-throated Tit","Aegithalos niveogularis","","","X","X","","","X","X"
"Black-browed Tit","Aegithalos iouschistos","","","","","X","","X","X"
"Indian Nuthatch","Sitta castanea","X","X","X","","","","X","X"
"Chestnut-bellied Nuthatch","Sitta cinnamoventris","X","X","","","","","X","X"
"Chestnut-vented Nuthatch","Sitta nagaensis","","","","","","","X",""
"Kashmir Nuthatch","Sitta cashmirensis","","","","X","","","X","X"
"White-tailed Nuthatch","Sitta himalayensis","X","X","","X","X","","X","X"
"White-cheeked Nuthatch","Sitta leucopsis","","","","X","","","X","X"
"Yunnan Nuthatch","Sitta yunnanensis","","","","","","X","X",""
"Velvet-fronted Nuthatch","Sitta frontalis","X","X","","","","","X","X"
"Beautiful Nuthatch","Sitta formosa","","","","","X","","X","X"
"Wallcreeper","Tichodroma muraria","X","X","","","","","X","X"
"Hodgson's Treecreeper","Certhia hodgsoni","","","","","X","","X","X"
"Bar-tailed Treecreeper","Certhia himalayana","X","X","","","X","","X","X"
"Rusty-flanked Treecreeper","Certhia nipalensis","","","","X","","","X","X"
"Sikkim Treecreeper","Certhia discolor","","X","","X","","","X","X"
"Manipur Treecreeper","Certhia manipurensis","","","","","","X","X",""
"Indian Spotted Creeper","Salpornis spilonota","","","X","","","","X","X"
"Eurasian Wren","Troglodytes troglodytes","","X","","","","","X","X"
"White-throated Dipper","Cinclus cinclus","","","","","","","X",""
"Brown Dipper","Cinclus pallasii","X","X","","","","","X","X"
"Grey-headed Bulbul","Brachypodius priocephalus","","X","X","","","","X","X"
"Black-headed Bulbul","Brachypodius atriceps","","","","","","","X",""
"Andaman Bulbul","Brachypodius fuscoflavescens","","X","X","","","","X","X"
"Black-crested Bulbul","Pycnonotus flaviventris","X","X","","","","","X","X"
"Flame-throated Bulbul","Pycnonotus gularis","X","X","X","","","","X","X"
"Crested Finchbill","Spizixos canifrons","","","","","","","X",""
"Striated Bulbul","Pycnonotus striatus","","X","","","","","X","X"
"Red-vented Bulbul","Pycnonotus cafer","X","X","","","","","X","X"
"Red-whiskered Bulbul","Pycnonotus jocosus","X","X","","","X","","X","X"
"White-eared Bulbul","Pycnonotus leucotis","X","X","","","X","","X","X"
"Himalayan Bulbul","Pycnonotus leucogenis","X","X","","X","","","X","X"
"Yellow-throated Bulbul","Pycnonotus xantholaemus","","X","X","","","","X","X"
"Flavescent Bulbul","Pycnonotus flavescens","","","","","","","X",""
"White-browed Bulbul","Pycnonotus luteolus","X","X","X","","","","X","X"
"White-throated Bulbul","Alophoixus flaveolus","X","X","","","X","","X","X"
"Indian Olive Bulbul","Iole cacharensis","","","","","X","","X","X"
"Yellow-browed Bulbul","Acritillas indica","X","X","X","","","","X","X"
"Black Bulbul","Hypsipetes leucocephalus","X","X","","","","","X","X"
"Square-tailed Bulbul","Hypsipetes ganeesa","X","X","X","","","","X","X"
"Nicobar Bulbul","Ixos nicobariensis","","","X","","","","X","X"
"Ashy Bulbul","Hemixos flavala","X","X","","","","","X","X"
"Mountain Bulbul","Ixos mcclellandii","","X","","","","","X","X"
"Goldcrest","Regulus regulus","","","","","","","X",""
"Scaly-breasted Wren Babbler","Pnoepyga albiventer","","X","","","X","","X","X"
"Nepal Wren Babbler","Pnoepyga immaculata","","","","X","","","X","X"
"Pygmy Wren Babbler","Pnoepyga pusilla","","X","","","","","X","X"
"Pale-footed Bush Warbler","Hemitesia pallidipes","","","","","X","","X","X"
"Asian Stubtail","Urosphena squameiceps","","","","","","X","X",""
"Grey-bellied Tesia","Tesia cyaniventer","","X","","","","","X","X"
"Slaty-bellied Tesia","Tesia olivea","","X","","","X","","X","X"
"Chestnut-crowned Bush Warbler","Cettia major","","","","","","","X",""
"Grey-sided Bush Warbler","Cettia brunnifrons","","X","","","X","","X","X"
"Chestnut-headed Tesia","Cettia castaneocoronata","X","X","","","X","","X","X"
"Cetti's Warbler","Cettia cetti","","","","","","X","X",""
"Yellow-bellied Warbler","Abroscopus superciliaris","","X","","","","","X","X"
"Rufous-faced Warbler","Abroscopus albogularis","","","","","","","X",""
"Black-faced Warbler","Abroscopus schisticeps","","X","","","X","","X","X"
"Mountain Tailorbird","Phyllergates cucullatus","","X","","","","","X","X"
"Broad-billed Warbler","Tickellia hodgsoni","","X","","X","","","X","X"
