Time Bands,Frequency,SE,Species
2011-2012,NA,NA,Andaman Serpent-Eagle
2013,NA,NA,Andaman Serpent-Eagle
2014,0.097152159,0.026003554,Andaman Serpent-Eagle
2015,0.115419121,0.029290712,Andaman Serpent-Eagle
2016,0.092781549,0.019699507,Andaman Serpent-Eagle
2017,0.090870684,0.019286215,Andaman Serpent-Eagle
2018,0.063402246,0.013212323,Andaman Serpent-Eagle
before 2000,NA,NA,Andaman Shama
2000-2006,NA,NA,Andaman Shama
2007-2010,NA,NA,Andaman Shama
2011-2012,NA,NA,Andaman Shama
2013,NA,NA,Andaman Shama
2014,0.122055503,0.036997962,Andaman Shama
2015,0.139210285,0.038590333,Andaman Shama
2016,0.125734886,0.030491886,Andaman Shama
2017,0.104644487,0.024613354,Andaman Shama
2018,0.134957597,0.030944107,Andaman Shama
before 2000,NA,NA,Andaman Teal
2000-2006,NA,NA,Andaman Teal
2007-2010,NA,NA,Andaman Teal
2011-2012,NA,NA,Andaman Teal
2013,NA,NA,Andaman Teal
2014,NA,NA,Andaman Teal
2015,NA,NA,Andaman Teal
2016,NA,NA,Andaman Teal
2017,NA,NA,Andaman Teal
2018,NA,NA,Andaman Teal
before 2000,NA,NA,Andaman Treepie
2000-2006,NA,NA,Andaman Treepie
2007-2010,NA,NA,Andaman Treepie
2011-2012,NA,NA,Andaman Treepie
2013,NA,NA,Andaman Treepie
2014,NA,NA,Andaman Treepie
2015,NA,NA,Andaman Treepie
2016,NA,NA,Andaman Treepie
2017,NA,NA,Andaman Treepie
2018,NA,NA,Andaman Treepie
before 2000,NA,NA,Andaman Wood-Pigeon
2000-2006,NA,NA,Andaman Wood-Pigeon
2007-2010,NA,NA,Andaman Wood-Pigeon
2011-2012,NA,NA,Andaman Wood-Pigeon
2013,NA,NA,Andaman Wood-Pigeon
2014,NA,NA,Andaman Wood-Pigeon
2015,NA,NA,Andaman Wood-Pigeon
2016,NA,NA,Andaman Wood-Pigeon
2017,NA,NA,Andaman Wood-Pigeon
2018,NA,NA,Andaman Wood-Pigeon
before 2000,NA,NA,Andaman Woodpecker
2000-2006,NA,NA,Andaman Woodpecker
2007-2010,NA,NA,Andaman Woodpecker
2011-2012,NA,NA,Andaman Woodpecker
2013,NA,NA,Andaman Woodpecker
2014,NA,NA,Andaman Woodpecker
2015,NA,NA,Andaman Woodpecker
2016,NA,NA,Andaman Woodpecker
2017,NA,NA,Andaman Woodpecker
2018,NA,NA,Andaman Woodpecker
before 2000,NA,NA,Ashambu Laughingthrush
2000-2006,NA,NA,Ashambu Laughingthrush
2007-2010,NA,NA,Ashambu Laughingthrush
2011-2012,NA,NA,Ashambu Laughingthrush
2013,NA,NA,Ashambu Laughingthrush
2014,NA,NA,Ashambu Laughingthrush
2015,NA,NA,Ashambu Laughingthrush
2016,NA,NA,Ashambu Laughingthrush
2017,NA,NA,Ashambu Laughingthrush
2018,NA,NA,Ashambu Laughingthrush
before 2000,0.231180473,0.017911568,Ashy-crowned Sparrow-Lark
2000-2006,0.15352664,0.013094951,Ashy-crowned Sparrow-Lark
2007-2010,0.140822694,0.011907812,Ashy-crowned Sparrow-Lark
2011-2012,0.126857988,0.010571643,Ashy-crowned Sparrow-Lark
2013,0.12261577,0.009889451,Ashy-crowned Sparrow-Lark
2014,0.128936694,0.010044511,Ashy-crowned Sparrow-Lark
2015,0.118878766,0.009020506,Ashy-crowned Sparrow-Lark
2016,0.110758055,0.008529189,Ashy-crowned Sparrow-Lark
2017,0.120462206,0.00922747,Ashy-crowned Sparrow-Lark
2018,0.112842279,0.008538537,Ashy-crowned Sparrow-Lark
before 2000,0.047443114,0.016532393,Ashy-throated Warbler
2000-2006,0.055708646,0.019219796,Ashy-throated Warbler
2007-2010,0.042322928,0.014700083,Ashy-throated Warbler
2011-2012,0.031689383,0.011127372,Ashy-throated Warbler
2013,0.034660892,0.012136095,Ashy-throated Warbler
2014,0.029407604,0.009873386,Ashy-throated Warbler
2015,0.025649103,0.008565989,Ashy-throated Warbler
2016,0.02574908,0.008574543,Ashy-throated Warbler
2017,0.026676239,0.008812279,Ashy-throated Warbler
2018,0.032690452,0.010785848,Ashy-throated Warbler
before 2000,0.075040057,0.018636699,Ashy Bulbul
2000-2006,0.068134505,0.016762097,Ashy Bulbul
2007-2010,0.065262177,0.015825687,Ashy Bulbul
2011-2012,0.076854233,0.018436925,Ashy Bulbul
2013,0.065168999,0.015729182,Ashy Bulbul
2014,0.079559658,0.017798602,Ashy Bulbul
2015,0.085112884,0.018784741,Ashy Bulbul
2016,0.074385746,0.016454915,Ashy Bulbul
2017,0.07428344,0.016521878,Ashy Bulbul
2018,0.066645478,0.014771539,Ashy Bulbul
before 2000,0.078899402,0.007023942,Ashy Drongo
2000-2006,0.081930639,0.007472674,Ashy Drongo
2007-2010,0.080891661,0.00717502,Ashy Drongo
2011-2012,0.068965544,0.006184861,Ashy Drongo
2013,0.071780216,0.006088726,Ashy Drongo
2014,0.078047088,0.006273712,Ashy Drongo
2015,0.072599155,0.005684884,Ashy Drongo
2016,0.076874557,0.005983011,Ashy Drongo
2017,0.074138625,0.005775788,Ashy Drongo
2018,0.079943377,0.006146268,Ashy Drongo
before 2000,0.113722098,0.00832702,Ashy Prinia
2000-2006,0.128457275,0.009332336,Ashy Prinia
2007-2010,0.187907122,0.012190593,Ashy Prinia
2011-2012,0.189050897,0.012278999,Ashy Prinia
2013,0.229957262,0.013686639,Ashy Prinia
2014,0.239086362,0.013420037,Ashy Prinia
2015,0.230265714,0.012941953,Ashy Prinia
2016,0.231881145,0.012919071,Ashy Prinia
2017,0.252523114,0.013792421,Ashy Prinia
2018,0.232817056,0.013025392,Ashy Prinia
before 2000,NA,NA,Ashy Wood-Pigeon
2000-2006,NA,NA,Ashy Wood-Pigeon
2007-2010,NA,NA,Ashy Wood-Pigeon
2011-2012,NA,NA,Ashy Wood-Pigeon
2013,NA,NA,Ashy Wood-Pigeon
2014,NA,NA,Ashy Wood-Pigeon
2015,NA,NA,Ashy Wood-Pigeon
2016,NA,NA,Ashy Wood-Pigeon
2017,NA,NA,Ashy Wood-Pigeon
2018,NA,NA,Ashy Wood-Pigeon
before 2000,0.1011887,0.010500488,Ashy Woodswallow
2000-2006,0.054920041,0.006469902,Ashy Woodswallow
2007-2010,0.060583307,0.006617938,Ashy Woodswallow
2011-2012,0.078432891,0.008539744,Ashy Woodswallow
2013,0.068320431,0.007021627,Ashy Woodswallow
2014,0.08047113,0.007833895,Ashy Woodswallow
2015,0.0715286,0.006870363,Ashy Woodswallow
2016,0.060539939,0.005811012,Ashy Woodswallow
2017,0.062277204,0.006009045,Ashy Woodswallow
2018,0.062209088,0.00599593,Ashy Woodswallow
before 2000,0.072963907,0.010786857,Asian Barred Owlet
2000-2006,0.097817929,0.013379784,Asian Barred Owlet
2007-2010,0.08497578,0.01186135,Asian Barred Owlet
2011-2012,0.093154162,0.012913236,Asian Barred Owlet
2013,0.071083732,0.009783329,Asian Barred Owlet
2014,0.092999283,0.010964065,Asian Barred Owlet
2015,0.087905506,0.010229243,Asian Barred Owlet
2016,0.083384687,0.009532392,Asian Barred Owlet
2017,0.088601721,0.010066775,Asian Barred Owlet
2018,0.090255824,0.010062887,Asian Barred Owlet
before 2000,0.037822734,0.00440725,Asian Brown Flycatcher
2000-2006,0.028859663,0.003558692,Asian Brown Flycatcher
2007-2010,0.033450438,0.003620986,Asian Brown Flycatcher
2011-2012,0.030767706,0.003440959,Asian Brown Flycatcher
2013,0.028912417,0.002953936,Asian Brown Flycatcher
2014,0.023616155,0.002250586,Asian Brown Flycatcher
2015,0.023696387,0.00220701,Asian Brown Flycatcher
2016,0.022647686,0.002060288,Asian Brown Flycatcher
2017,0.021634947,0.001980668,Asian Brown Flycatcher
2018,0.021786901,0.00199277,Asian Brown Flycatcher
before 2000,0.07874269,0.009337067,Asian Emerald Dove
2000-2006,0.084135157,0.009682542,Asian Emerald Dove
2007-2010,0.09557512,0.010936996,Asian Emerald Dove
2011-2012,0.076082561,0.008894618,Asian Emerald Dove
2013,0.067669826,0.007513903,Asian Emerald Dove
2014,0.056694016,0.006189998,Asian Emerald Dove
2015,0.056844111,0.006148468,Asian Emerald Dove
2016,0.056029361,0.005982686,Asian Emerald Dove
2017,0.05600554,0.005996521,Asian Emerald Dove
2018,0.057103797,0.006121251,Asian Emerald Dove
before 2000,0.088840177,0.014349222,Asian Fairy-bluebird
2000-2006,0.08579672,0.014115972,Asian Fairy-bluebird
2007-2010,0.080151325,0.013134746,Asian Fairy-bluebird
2011-2012,0.050355701,0.008573358,Asian Fairy-bluebird
2013,0.036744913,0.006135788,Asian Fairy-bluebird
2014,0.038016579,0.006075463,Asian Fairy-bluebird
2015,0.035498687,0.005611016,Asian Fairy-bluebird
2016,0.036294725,0.005755058,Asian Fairy-bluebird
2017,0.03678604,0.005811829,Asian Fairy-bluebird
2018,0.037292367,0.005912485,Asian Fairy-bluebird
before 2000,0.179258614,0.009170531,Asian Koel
2000-2006,0.198291336,0.009832789,Asian Koel
2007-2010,0.194114246,0.009340776,Asian Koel
2011-2012,0.205381115,0.009703265,Asian Koel
2013,0.240022157,0.009805044,Asian Koel
2014,0.235303353,0.009321145,Asian Koel
2015,0.252996396,0.009515986,Asian Koel
2016,0.243439735,0.009313143,Asian Koel
2017,0.283602076,0.010386993,Asian Koel
2018,0.285826765,0.010415172,Asian Koel
before 2000,0.098450483,0.007112415,Asian Openbill
2000-2006,0.14119915,0.009957036,Asian Openbill
2007-2010,0.14782089,0.009856712,Asian Openbill
2011-2012,0.168545372,0.011105893,Asian Openbill
2013,0.177989348,0.011118921,Asian Openbill
2014,0.176960458,0.010575508,Asian Openbill
2015,0.151720719,0.009146983,Asian Openbill
2016,0.143444371,0.008695388,Asian Openbill
2017,0.133634186,0.008146279,Asian Openbill
2018,0.13047226,0.007877662,Asian Openbill
before 2000,0.142583912,0.012353508,Asian Palm-Swift
2000-2006,0.097285878,0.008664563,Asian Palm-Swift
2007-2010,0.09364008,0.008183614,Asian Palm-Swift
2011-2012,0.106538678,0.009089062,Asian Palm-Swift
2013,0.096729835,0.008027517,Asian Palm-Swift
2014,0.101139761,0.008189667,Asian Palm-Swift
2015,0.110425786,0.008770632,Asian Palm-Swift
2016,0.112380304,0.0088166,Asian Palm-Swift
2017,0.100156284,0.007946198,Asian Palm-Swift
2018,0.116434979,0.009056459,Asian Palm-Swift
before 2000,0.19085824,0.015999019,Asian Pied Starling
2000-2006,0.225341227,0.019237427,Asian Pied Starling
2007-2010,0.227612047,0.019362001,Asian Pied Starling
2011-2012,0.230357267,0.018855517,Asian Pied Starling
2013,0.240444794,0.018634954,Asian Pied Starling
2014,0.244382051,0.018278406,Asian Pied Starling
2015,0.246782853,0.018147775,Asian Pied Starling
2016,0.248940974,0.017931287,Asian Pied Starling
2017,0.252685283,0.018159252,Asian Pied Starling
2018,0.265190017,0.018809667,Asian Pied Starling
before 2000,NA,NA,Assam Laughingthrush
2000-2006,NA,NA,Assam Laughingthrush
2007-2010,NA,NA,Assam Laughingthrush
2011-2012,NA,NA,Assam Laughingthrush
2013,NA,NA,Assam Laughingthrush
2014,NA,NA,Assam Laughingthrush
2015,NA,NA,Assam Laughingthrush
2016,NA,NA,Assam Laughingthrush
2017,NA,NA,Assam Laughingthrush
2018,NA,NA,Assam Laughingthrush
before 2000,NA,NA,Baillon's Crake
2000-2006,NA,NA,Baillon's Crake
2007-2010,NA,NA,Baillon's Crake
2011-2012,NA,NA,Baillon's Crake
2013,NA,NA,Baillon's Crake
2014,0.0038639,0.001419193,Baillon's Crake
2015,0.007653005,0.002748445,Baillon's Crake
2016,0.007785764,0.002787881,Baillon's Crake
2017,0.007951142,0.002832232,Baillon's Crake
2018,0.003047079,0.001102261,Baillon's Crake
before 2000,NA,NA,Banasura Laughingthrush
2000-2006,NA,NA,Banasura Laughingthrush
2007-2010,NA,NA,Banasura Laughingthrush
2011-2012,NA,NA,Banasura Laughingthrush
2013,NA,NA,Banasura Laughingthrush
2014,NA,NA,Banasura Laughingthrush
2015,NA,NA,Banasura Laughingthrush
2016,NA,NA,Banasura Laughingthrush
2017,NA,NA,Banasura Laughingthrush
2018,NA,NA,Banasura Laughingthrush
before 2000,0.034468877,0.005439842,Banded Bay Cuckoo
2000-2006,0.010994776,0.002090096,Banded Bay Cuckoo
2007-2010,0.024707552,0.003996885,Banded Bay Cuckoo
2011-2012,0.019986997,0.003339025,Banded Bay Cuckoo
2013,0.016847003,0.002519094,Banded Bay Cuckoo
2014,0.010437641,0.001490213,Banded Bay Cuckoo
2015,0.00939667,0.001291809,Banded Bay Cuckoo
2016,0.010046257,0.001360261,Banded Bay Cuckoo
2017,0.015115888,0.001967012,Banded Bay Cuckoo
2018,0.013957085,0.001817514,Banded Bay Cuckoo
before 2000,0.139173658,0.015616802,Bank Myna
2000-2006,0.154881858,0.017409844,Bank Myna
2007-2010,0.160887321,0.016971053,Bank Myna
2011-2012,0.150342291,0.016145566,Bank Myna
2013,0.139376368,0.01502269,Bank Myna
2014,0.144093715,0.01442275,Bank Myna
2015,0.134620035,0.013472987,Bank Myna
2016,0.111452804,0.011058324,Bank Myna
2017,0.111433723,0.011198704,Bank Myna
2018,0.103168162,0.010363087,Bank Myna
before 2000,0.059985864,0.054398848,Bar-headed Goose
2000-2006,0.053875651,0.048351853,Bar-headed Goose
2007-2010,0.065828697,0.059355782,Bar-headed Goose
2011-2012,0.067366694,0.060771949,Bar-headed Goose
2013,0.070257794,0.063527693,Bar-headed Goose
2014,0.06297713,0.057032392,Bar-headed Goose
2015,0.059120592,0.053590544,Bar-headed Goose
2016,0.045862625,0.041552597,Bar-headed Goose
2017,0.053207184,0.048212141,Bar-headed Goose
2018,0.051947794,0.047097469,Bar-headed Goose
before 2000,NA,NA,Bar-tailed Godwit
2000-2006,NA,NA,Bar-tailed Godwit
2007-2010,NA,NA,Bar-tailed Godwit
2011-2012,NA,NA,Bar-tailed Godwit
2013,NA,NA,Bar-tailed Godwit
2014,0.015809137,0.013557299,Bar-tailed Godwit
2015,0.01790578,0.015136186,Bar-tailed Godwit
2016,0.01548602,0.013159014,Bar-tailed Godwit
2017,0.017929658,0.015347942,Bar-tailed Godwit
2018,0.012355252,0.010534994,Bar-tailed Godwit
before 2000,0.095840006,0.024017967,Bar-tailed Treecreeper
2000-2006,0.071690867,0.019022475,Bar-tailed Treecreeper
2007-2010,0.105408358,0.025667166,Bar-tailed Treecreeper
2011-2012,0.102894526,0.025485806,Bar-tailed Treecreeper
2013,0.0973634,0.023649727,Bar-tailed Treecreeper
2014,0.110008366,0.025356369,Bar-tailed Treecreeper
2015,0.093274845,0.021428388,Bar-tailed Treecreeper
2016,0.073302284,0.01716006,Bar-tailed Treecreeper
2017,0.075918703,0.017673991,Bar-tailed Treecreeper
2018,0.088813753,0.020526201,Bar-tailed Treecreeper
before 2000,0.039307875,0.00523863,Bar-winged Flycatcher-shrike
2000-2006,0.059055115,0.007424496,Bar-winged Flycatcher-shrike
2007-2010,0.041276443,0.005135281,Bar-winged Flycatcher-shrike
2011-2012,0.034539123,0.004411596,Bar-winged Flycatcher-shrike
2013,0.023781729,0.002944023,Bar-winged Flycatcher-shrike
2014,0.020210028,0.002367528,Bar-winged Flycatcher-shrike
2015,0.018681622,0.002145087,Bar-winged Flycatcher-shrike
2016,0.018959875,0.002169182,Bar-winged Flycatcher-shrike
2017,0.019964253,0.002259293,Bar-winged Flycatcher-shrike
2018,0.019145705,0.00216687,Bar-winged Flycatcher-shrike
before 2000,NA,NA,Bar-winged Wren-Babbler
2000-2006,NA,NA,Bar-winged Wren-Babbler
2007-2010,NA,NA,Bar-winged Wren-Babbler
2011-2012,NA,NA,Bar-winged Wren-Babbler
2013,NA,NA,Bar-winged Wren-Babbler
2014,NA,NA,Bar-winged Wren-Babbler
2015,NA,NA,Bar-winged Wren-Babbler
2016,NA,NA,Bar-winged Wren-Babbler
2017,NA,NA,Bar-winged Wren-Babbler
2018,NA,NA,Bar-winged Wren-Babbler
before 2000,0.13286663,0.00770816,Barn Swallow
2000-2006,0.102600465,0.006299663,Barn Swallow
2007-2010,0.120302092,0.006775658,Barn Swallow
2011-2012,0.120324242,0.006673224,Barn Swallow
2013,0.114761012,0.006117384,Barn Swallow
2014,0.116819009,0.005559703,Barn Swallow
2015,0.131441601,0.006027373,Barn Swallow
2016,0.130153626,0.005999042,Barn Swallow
2017,0.105266375,0.004924875,Barn Swallow
2018,0.111213686,0.005113682,Barn Swallow
before 2000,0.029928442,0.004266264,Barred Buttonquail
2000-2006,0.025789554,0.003956067,Barred Buttonquail
2007-2010,0.029886792,0.00425494,Barred Buttonquail
2011-2012,0.034252777,0.00466799,Barred Buttonquail
2013,0.029298368,0.003766807,Barred Buttonquail
2014,0.02743629,0.003171212,Barred Buttonquail
2015,0.02931987,0.00330202,Barred Buttonquail
2016,0.028932652,0.00318375,Barred Buttonquail
2017,0.032374298,0.003487903,Barred Buttonquail
2018,0.030648313,0.003314487,Barred Buttonquail
before 2000,NA,NA,Barred Cuckoo-Dove
2000-2006,NA,NA,Barred Cuckoo-Dove
2007-2010,NA,NA,Barred Cuckoo-Dove
2011-2012,NA,NA,Barred Cuckoo-Dove
2013,NA,NA,Barred Cuckoo-Dove
2014,0.063839324,0.089213526,Barred Cuckoo-Dove
2015,0.064333208,0.089763335,Barred Cuckoo-Dove
2016,0.076898305,0.104902549,Barred Cuckoo-Dove
2017,0.076903219,0.105278977,Barred Cuckoo-Dove
2018,0.068394892,0.094753229,Barred Cuckoo-Dove
before 2000,0.140192597,0.011836842,Bay-backed Shrike
2000-2006,0.088079526,0.007802652,Bay-backed Shrike
2007-2010,0.072828581,0.006309333,Bay-backed Shrike
2011-2012,0.067447667,0.006114121,Bay-backed Shrike
2013,0.072641035,0.00623221,Bay-backed Shrike
2014,0.070407563,0.005637071,Bay-backed Shrike
2015,0.061537932,0.004872934,Bay-backed Shrike
2016,0.059197099,0.004685213,Bay-backed Shrike
2017,0.064889553,0.005151238,Bay-backed Shrike
2018,0.058996951,0.00464935,Bay-backed Shrike
before 2000,NA,NA,Bay Woodpecker
2000-2006,NA,NA,Bay Woodpecker
2007-2010,NA,NA,Bay Woodpecker
2011-2012,NA,NA,Bay Woodpecker
2013,NA,NA,Bay Woodpecker
2014,0.075200959,0.063192076,Bay Woodpecker
2015,0.086999923,0.072269494,Bay Woodpecker
2016,0.066120431,0.056042785,Bay Woodpecker
2017,0.082433095,0.068822655,Bay Woodpecker
2018,0.065250707,0.05489685,Bay Woodpecker
before 2000,0.119623269,0.009111452,Baya Weaver
2000-2006,0.106415227,0.008503874,Baya Weaver
2007-2010,0.137478541,0.010011798,Baya Weaver
2011-2012,0.110312688,0.008257362,Baya Weaver
2013,0.139088313,0.009561745,Baya Weaver
2014,0.134334398,0.008508927,Baya Weaver
2015,0.110385063,0.00701436,Baya Weaver
2016,0.116965656,0.007331924,Baya Weaver
2017,0.11256932,0.007155545,Baya Weaver
2018,0.117118294,0.007377221,Baya Weaver
before 2000,0.248186815,0.062623823,Bearded Vulture
2000-2006,0.204459962,0.053211689,Bearded Vulture
2007-2010,0.225414159,0.056482534,Bearded Vulture
2011-2012,0.299598693,0.070495786,Bearded Vulture
2013,0.210920744,0.052460043,Bearded Vulture
2014,0.154222994,0.039461886,Bearded Vulture
2015,0.096399559,0.025271355,Bearded Vulture
2016,0.108424249,0.027958326,Bearded Vulture
2017,0.117523992,0.030218782,Bearded Vulture
2018,0.096995053,0.025264299,Bearded Vulture
before 2000,NA,NA,Beautiful Nuthatch
2000-2006,NA,NA,Beautiful Nuthatch
2007-2010,NA,NA,Beautiful Nuthatch
2011-2012,NA,NA,Beautiful Nuthatch
2013,NA,NA,Beautiful Nuthatch
2014,NA,NA,Beautiful Nuthatch
2015,NA,NA,Beautiful Nuthatch
2016,NA,NA,Beautiful Nuthatch
2017,NA,NA,Beautiful Nuthatch
2018,NA,NA,Beautiful Nuthatch
before 2000,NA,NA,Beautiful Sibia
2000-2006,NA,NA,Beautiful Sibia
2007-2010,NA,NA,Beautiful Sibia
2011-2012,NA,NA,Beautiful Sibia
2013,NA,NA,Beautiful Sibia
2014,NA,NA,Beautiful Sibia
2015,NA,NA,Beautiful Sibia
2016,NA,NA,Beautiful Sibia
2017,NA,NA,Beautiful Sibia
2018,NA,NA,Beautiful Sibia
before 2000,NA,NA,Bengal Bushlark
2000-2006,NA,NA,Bengal Bushlark
2007-2010,NA,NA,Bengal Bushlark
2011-2012,NA,NA,Bengal Bushlark
2013,NA,NA,Bengal Bushlark
2014,0.093721686,0.016670301,Bengal Bushlark
2015,0.060166796,0.010972487,Bengal Bushlark
