"composite","groups","species"
"composite-diet","Invertebrate","Indian Nuthatch"
"composite-diet","Invertebrate","Velvet-fronted Nuthatch"
"composite-diet","Invertebrate","Rosy Starling"
"composite-diet","Invertebrate","Indian Robin"
"composite-diet","Invertebrate","Oriental Magpie Robin"
"composite-diet","Invertebrate","Asian Brown Flycatcher"
"composite-diet","Invertebrate","White-bellied Blue Flycatcher"
"composite-diet","Invertebrate","Tickell's Blue Flycatcher"
"composite-diet","Invertebrate","Red-breasted Flycatcher"
"composite-diet","Invertebrate","Black Redstart"
"composite-diet","Invertebrate","Pied Bushchat"
"composite-diet","Omnivorous","Red Spurfowl"
"composite-diet","Omnivorous","Asian Emerald Dove"
"composite-diet","Omnivorous","Greater Coucal"
"composite-diet","Omnivorous","White-breasted Waterhen"
"composite-diet","Omnivorous","Indian Pond Heron"
"composite-diet","Omnivorous","Indian Black Ibis"
"composite-diet","Omnivorous","Indian Roller"
"composite-diet","Omnivorous","Indian Golden Oriole"
"composite-diet","Omnivorous","Black Drongo"
"composite-diet","Omnivorous","Rufous Treepie"
"composite-diet","Omnivorous","White-bellied Treepie"
"composite-diet","Omnivorous","Large-billed Crow"
"composite-diet","Omnivorous","Little Spiderhunter"
"composite-diet","Omnivorous","Yellow-throated Sparrow"
"composite-diet","Omnivorous","Cinereous Tit"
"composite-diet","Omnivorous","Rufous-tailed Lark"
"composite-diet","Omnivorous","Indian Bushlark"
"composite-diet","Omnivorous","Oriental Skylark"
"composite-diet","Omnivorous","Malabar Lark"
"composite-diet","Omnivorous","Red-vented Bulbul"
"composite-diet","Omnivorous","Yellow-browed Bulbul"
"composite-diet","Omnivorous","Oriental White-eye"
"composite-diet","Omnivorous","Common Babbler"
"composite-diet","Omnivorous","Jungle Babbler"
"composite-diet","Omnivorous","Grey-sided Laughingthrush"
"composite-diet","Omnivorous","Common Starling"
"composite-diet","Omnivorous","Brahminy Starling"
"composite-diet","Omnivorous","Common Myna"
"composite-diet","Omnivorous","Bank Myna"
"composite-diet","Omnivorous","Blue Rock Thrush"
"composite-diet","Omnivorous","Orange-headed Thrush"
"composite-diet","Plant-Seed","Indian Peafowl"
"composite-diet","Plant-Seed","Rain Quail"
"composite-diet","Plant-Seed","Jungle Bush Quail"
"composite-diet","Plant-Seed","Grey Francolin"
"composite-diet","Plant-Seed","Rock Pigeon"
"composite-diet","Plant-Seed","Oriental Turtle Dove"
"composite-diet","Plant-Seed","Eurasian Collared Dove"
"composite-diet","Plant-Seed","Red Collared Dove"
"composite-diet","Plant-Seed","Spotted Dove"
"composite-diet","Plant-Seed","Laughing Dove"
"composite-diet","Plant-Seed","Chestnut-bellied Sandgrouse"
"composite-diet","Plant-Seed","Common Crane"
"composite-diet","Plant-Seed","Malabar Parakeet"
"composite-diet","Plant-Seed","Baya Weaver"
"composite-diet","Plant-Seed","Indian Silverbill"
"composite-diet","Plant-Seed","White-rumped Munia"
"composite-diet","Plant-Seed","House Sparrow"
"composite-diet","Plant-Seed","Yellow-breasted Greenfinch"
"composite-diet","Plant-Seed","Crested Bunting"
"composite-diet","Plant-Seed","Ashy-crowned Sparrow Lark"
"composite-diet","Plant-Seed","Crested Lark"
"composite-diet","Carnivorous","Woolly-necked Stork"
"composite-diet","Carnivorous","Black-winged Kite"
"composite-diet","Carnivorous","Oriental Honey Buzzard"
"composite-diet","Carnivorous","Bearded Vulture"
"composite-diet","Carnivorous","Egyptian Vulture"
"composite-diet","Carnivorous","Crested Serpent Eagle"
"composite-diet","Carnivorous","Short-toed Snake Eagle"
"composite-diet","Carnivorous","Red-headed Vulture"
"composite-diet","Carnivorous","White-rumped Vulture"
"composite-diet","Carnivorous","Indian Vulture"
"composite-diet","Carnivorous","Griffon Vulture"
"composite-diet","Carnivorous","Changeable Hawk Eagle"
"composite-diet","Carnivorous","Black Eagle"
"composite-diet","Carnivorous","Tawny Eagle"
"composite-diet","Carnivorous","Western Marsh Harrier"
"composite-diet","Carnivorous","Pallid Harrier"
"composite-diet","Carnivorous","Montagu's Harrier"
"composite-diet","Carnivorous","Shikra"
"composite-diet","Carnivorous","Eurasian Sparrowhawk"
"composite-diet","Carnivorous","White-bellied Sea Eagle"
"composite-diet","Carnivorous","Black Kite"
"composite-diet","Carnivorous","White-eyed Buzzard"
"composite-diet","Carnivorous","Brown Fish Owl"
"composite-diet","Carnivorous","White-throated Kingfisher"
"composite-diet","Carnivorous","Common Kestrel"
"composite-diet","Carnivorous","Red-necked Falcon"
"composite-diet","Carnivorous","Peregrine Falcon"
"composite-diet","Carnivorous","Great Grey Shrike"
"composite-diet","Carnivorous","House Crow"
"composite-endemics","Resident-Non-Endemics","Lesser Whistling Duck"
"composite-endemics","Resident-Non-Endemics","Cotton Teal"
"composite-endemics","Resident-Non-Endemics","Indian Spot-billed Duck"
"composite-endemics","Resident-Non-Endemics","Rain Quail"
"composite-endemics","Resident-Non-Endemics","Grey Francolin"
"composite-endemics","Resident-Non-Endemics","Little Grebe"
"composite-endemics","Resident-Non-Endemics","Rock Pigeon"
"composite-endemics","Resident-Non-Endemics","Oriental Turtle Dove"
"composite-endemics","Resident-Non-Endemics","Eurasian Collared Dove"
"composite-endemics","Resident-Non-Endemics","Red Collared Dove"
"composite-endemics","Resident-Non-Endemics","Spotted Dove"
"composite-endemics","Resident-Non-Endemics","Laughing Dove"
"composite-endemics","Resident-Non-Endemics","Asian Emerald Dove"
"composite-endemics","Resident-Non-Endemics","Yellow-legged Green Pigeon"
"composite-endemics","Resident-Non-Endemics","Mountain Imperial Pigeon"
"composite-endemics","Resident-Non-Endemics","Chestnut-bellied Sandgrouse"
"composite-endemics","Resident-Non-Endemics","Greater Coucal"
"composite-endemics","Resident-Non-Endemics","Pied Cuckoo"
"composite-endemics","Resident-Non-Endemics","Asian Koel"
"composite-endemics","Resident-Non-Endemics","Banded Bay Cuckoo"
"composite-endemics","Resident-Non-Endemics","Indian Cuckoo"
"composite-endemics","Resident-Non-Endemics","Brown-backed Needletail"
"composite-endemics","Resident-Non-Endemics","Himalayan Swiftlet"
"composite-endemics","Resident-Non-Endemics","Alpine Swift"
"composite-endemics","Resident-Non-Endemics","Indian House Swift"
"composite-endemics","Resident-Non-Endemics","Asian Palm Swift"
"composite-endemics","Resident-Non-Endemics","Crested Treeswift"
"composite-endemics","Resident-Non-Endemics","Common Coot"
"composite-endemics","Resident-Non-Endemics","White-breasted Waterhen"
"composite-endemics","Resident-Non-Endemics","Brown Crake"
"composite-endemics","Resident-Non-Endemics","Sarus Crane"
"composite-endemics","Resident-Non-Endemics","Indian Thick-knee"
"composite-endemics","Resident-Non-Endemics","Great Thick-knee"
"composite-endemics","Resident-Non-Endemics","Black-winged Stilt"
"composite-endemics","Resident-Non-Endemics","Red-wattled Lapwing"
"composite-endemics","Resident-Non-Endemics","Kentish Plover"
"composite-endemics","Resident-Non-Endemics","Little Ringed Plover"
"composite-endemics","Resident-Non-Endemics","Greater Painted-snipe"
"composite-endemics","Resident-Non-Endemics","Pheasant-tailed Jacana"
"composite-endemics","Resident-Non-Endemics","Bronze-winged Jacana"
"composite-endemics","Resident-Non-Endemics","Little Pratincole"
"composite-endemics","Resident-Non-Endemics","Little Tern"
"composite-endemics","Resident-Non-Endemics","Caspian Tern"
"composite-endemics","Resident-Non-Endemics","Whiskered Tern"
"composite-endemics","Resident-Non-Endemics","River Tern"
"composite-endemics","Resident-Non-Endemics","Asian Openbill"
"composite-endemics","Resident-Non-Endemics","Woolly-necked Stork"
"composite-endemics","Resident-Non-Endemics","Little Cormorant"
"composite-endemics","Resident-Non-Endemics","Great Cormorant"
"composite-endemics","Resident-Non-Endemics","Indian Cormorant"
"composite-endemics","Resident-Non-Endemics","Cinnamon Bittern"
"composite-endemics","Resident-Non-Endemics","Grey Heron"
"composite-endemics","Resident-Non-Endemics","Purple Heron"
"composite-endemics","Resident-Non-Endemics","Great Egret"
"composite-endemics","Resident-Non-Endemics","Intermediate Egret"
"composite-endemics","Resident-Non-Endemics","Little Egret"
"composite-endemics","Resident-Non-Endemics","Cattle Egret"
"composite-endemics","Resident-Non-Endemics","Indian Pond Heron"
"composite-endemics","Resident-Non-Endemics","Striated Heron"
"composite-endemics","Resident-Non-Endemics","Black-crowned Night Heron"
"composite-endemics","Resident-Non-Endemics","Glossy Ibis"
"composite-endemics","Resident-Non-Endemics","Black-headed Ibis"
"composite-endemics","Resident-Non-Endemics","Black-winged Kite"
"composite-endemics","Resident-Non-Endemics","Bearded Vulture"
"composite-endemics","Resident-Non-Endemics","Egyptian Vulture"
"composite-endemics","Resident-Non-Endemics","Oriental Honey Buzzard"
"composite-endemics","Resident-Non-Endemics","Red-headed Vulture"
"composite-endemics","Resident-Non-Endemics","White-rumped Vulture"
"composite-endemics","Resident-Non-Endemics","Crested Serpent Eagle"
"composite-endemics","Resident-Non-Endemics","Short-toed Snake Eagle"
"composite-endemics","Resident-Non-Endemics","Changeable Hawk Eagle"
"composite-endemics","Resident-Non-Endemics","Black Eagle"
"composite-endemics","Resident-Non-Endemics","Tawny Eagle"
"composite-endemics","Resident-Non-Endemics","White-eyed Buzzard"
"composite-endemics","Resident-Non-Endemics","Shikra"
"composite-endemics","Resident-Non-Endemics","Eurasian Sparrowhawk"
"composite-endemics","Resident-Non-Endemics","Black Kite"
"composite-endemics","Resident-Non-Endemics","White-bellied Sea Eagle"
"composite-endemics","Resident-Non-Endemics","Brown Fish Owl"
"composite-endemics","Resident-Non-Endemics","Common Hoopoe"
"composite-endemics","Resident-Non-Endemics","Common Kingfisher"
"composite-endemics","Resident-Non-Endemics","White-throated Kingfisher"
"composite-endemics","Resident-Non-Endemics","Black-capped Kingfisher"
"composite-endemics","Resident-Non-Endemics","Pied Kingfisher"
"composite-endemics","Resident-Non-Endemics","Green Bee-eater"
"composite-endemics","Resident-Non-Endemics","Indian Roller"
"composite-endemics","Resident-Non-Endemics","Coppersmith Barbet"
"composite-endemics","Resident-Non-Endemics","Heart-spotted Woodpecker"
"composite-endemics","Resident-Non-Endemics","Yellow-fronted Pied Woodpecker"
"composite-endemics","Resident-Non-Endemics","Greater Golden-backed Woodpecker"
"composite-endemics","Resident-Non-Endemics","Rufous Woodpecker"
"composite-endemics","Resident-Non-Endemics","Himalayan Golden-backed Woodpecker"
"composite-endemics","Resident-Non-Endemics","White-bellied Woodpecker"
"composite-endemics","Resident-Non-Endemics","Common Kestrel"
"composite-endemics","Resident-Non-Endemics","Red-necked Falcon"
"composite-endemics","Resident-Non-Endemics","Peregrine Falcon"
"composite-endemics","Resident-Non-Endemics","Rose-ringed Parakeet"
"composite-endemics","Resident-Non-Endemics","Common Woodshrike"
"composite-endemics","Resident-Non-Endemics","Bar-winged Flycatcher-shrike"
"composite-endemics","Resident-Non-Endemics","Ashy Woodswallow"
"composite-endemics","Resident-Non-Endemics","Common Iora"
"composite-endemics","Resident-Non-Endemics","Small Minivet"
"composite-endemics","Resident-Non-Endemics","Large Cuckooshrike"
"composite-endemics","Resident-Non-Endemics","Bay-backed Shrike"
"composite-endemics","Resident-Non-Endemics","Long-tailed Shrike"
"composite-endemics","Resident-Non-Endemics","Great Grey Shrike"
"composite-endemics","Resident-Non-Endemics","Black-hooded Oriole"
"composite-endemics","Resident-Non-Endemics","Black Drongo"
"composite-endemics","Resident-Non-Endemics","Bronzed Drongo"
"composite-endemics","Resident-Non-Endemics","Greater Racket-tailed Drongo"
"composite-endemics","Resident-Non-Endemics","White-browed Fantail"
"composite-endemics","Resident-Non-Endemics","Black-naped Monarch"
"composite-endemics","Resident-Non-Endemics","Rufous Treepie"
"composite-endemics","Resident-Non-Endemics","House Crow"
"composite-endemics","Resident-Non-Endemics","Large-billed Crow"
"composite-endemics","Resident-Non-Endemics","Sand Lark"
"composite-endemics","Resident-Non-Endemics","Oriental Skylark"
"composite-endemics","Resident-Non-Endemics","Crested Lark"
"composite-endemics","Resident-Non-Endemics","Grey-throated Martin"
"composite-endemics","Resident-Non-Endemics","Eurasian Crag Martin"
"composite-endemics","Resident-Non-Endemics","Dusky Crag Martin"
"composite-endemics","Resident-Non-Endemics","Wire-tailed Swallow"
"composite-endemics","Resident-Non-Endemics","Red-rumped Swallow"
"composite-endemics","Resident-Non-Endemics","Streak-throated Swallow"
"composite-endemics","Resident-Non-Endemics","Yellow-browed Tit"
"composite-endemics","Resident-Non-Endemics","Cinereous Tit"
"composite-endemics","Resident-Non-Endemics","Velvet-fronted Nuthatch"
"composite-endemics","Resident-Non-Endemics","Red-vented Bulbul"
"composite-endemics","Resident-Non-Endemics","Lemon-rumped Warbler"
"composite-endemics","Resident-Non-Endemics","Common Tailorbird"
"composite-endemics","Resident-Non-Endemics","Grey-breasted Prinia"
"composite-endemics","Resident-Non-Endemics","Plain Prinia"
"composite-endemics","Resident-Non-Endemics","Zitting Cisticola"
"composite-endemics","Resident-Non-Endemics","Yellow-eyed Babbler"
"composite-endemics","Resident-Non-Endemics","Oriental White-eye"
"composite-endemics","Resident-Non-Endemics","Puff-throated Babbler"
"composite-endemics","Resident-Non-Endemics","Quaker Tit Babbler"
"composite-endemics","Resident-Non-Endemics","Grey-sided Laughingthrush"
"composite-endemics","Resident-Non-Endemics","Asian Fairy-bluebird"
"composite-endemics","Resident-Non-Endemics","Asian Brown Flycatcher"
"composite-endemics","Resident-Non-Endemics","Oriental Magpie Robin"
"composite-endemics","Resident-Non-Endemics","Pied Bushchat"
"composite-endemics","Resident-Non-Endemics","Orange-headed Thrush"
"composite-endemics","Resident-Non-Endemics","Brahminy Starling"
"composite-endemics","Resident-Non-Endemics","Common Myna"
"composite-endemics","Resident-Non-Endemics","Golden-fronted Leafbird"
"composite-endemics","Resident-Non-Endemics","Thick-billed Flowerpecker"
"composite-endemics","Resident-Non-Endemics","Purple Sunbird"
"composite-endemics","Resident-Non-Endemics","Little Spiderhunter"
"composite-endemics","Resident-Non-Endemics","White-browed Wagtail"
"composite-endemics","Resident-Non-Endemics","Paddyfield Pipit"
"composite-endemics","Resident-Non-Endemics","Yellow-breasted Greenfinch"
"composite-endemics","Resident-Non-Endemics","House Sparrow"
"composite-endemics","Resident-Non-Endemics","Yellow-throated Sparrow"
"composite-endemics","Resident-Non-Endemics","Baya Weaver"
"composite-endemics","Resident-Non-Endemics","Indian Silverbill"
"composite-endemics","Resident-Non-Endemics","White-rumped Munia"
"composite-endemics","Western-Ghats","Malabar Grey Hornbill"
"composite-endemics","Western-Ghats","Malabar Barbet"
"composite-endemics","Western-Ghats","Malabar Parakeet"
"composite-endemics","Western-Ghats","Malabar Woodshrike"
"composite-endemics","Western-Ghats","White-bellied Treepie"
"composite-endemics","Western-Ghats","Nilgiri Flowerpecker"
"composite-endemics","Western-Ghats","Crimson-backed Sunbird"
"composite-endemics","Western-Ghats","Flame-throated Bulbul"
"composite-endemics","Western-Ghats","White-bellied Blue Flycatcher"
"composite-endemics","Western-Ghats","Dark-fronted Babbler"
"composite-endemics","Western-Ghats","Yellow-browed Bulbul"
"composite-endemics","Western-Ghats","Square-tailed Bulbul"
"composite-endemics","Others-Subcontinent","Indian Peafowl"
"composite-endemics","Others-Subcontinent","Jungle Bush Quail"
"composite-endemics","Others-Subcontinent","Red Spurfowl"
"composite-endemics","Others-Subcontinent","White-rumped Spinetail"
"composite-endemics","Others-Subcontinent","Sirkeer Malkoha"
"composite-endemics","Others-Subcontinent","Common Hawk Cuckoo"
"composite-endemics","Others-Subcontinent","Indian Black Ibis"
"composite-endemics","Others-Subcontinent","Yellow-wattled Lapwing"
"composite-endemics","Others-Subcontinent","Indian Courser"
"composite-endemics","Others-Subcontinent","Indian Vulture"
"composite-endemics","Others-Subcontinent","Malabar Trogon"
"composite-endemics","Others-Subcontinent","Lesser Golden-backed Woodpecker"
"composite-endemics","Others-Subcontinent","White-naped Woodpecker"
"composite-endemics","Others-Subcontinent","Brown-capped Pygmy Woodpecker"
"composite-endemics","Others-Subcontinent","Plum-headed Parakeet"
"composite-endemics","Others-Subcontinent","Black-headed Cuckooshrike"
"composite-endemics","Others-Subcontinent","White-bellied Drongo"
"composite-endemics","Others-Subcontinent","Pale-billed Flowerpecker"
"composite-endemics","Others-Subcontinent","Purple-rumped Sunbird"
"composite-endemics","Others-Subcontinent","Loten's Sunbird"
"composite-endemics","Others-Subcontinent","Jerdon's Leafbird"
"composite-endemics","Others-Subcontinent","Indian Yellow Tit"
"composite-endemics","Others-Subcontinent","Rufous-tailed Lark"
"composite-endemics","Others-Subcontinent","Ashy-crowned Sparrow Lark"
"composite-endemics","Others-Subcontinent","Indian Bushlark"
"composite-endemics","Others-Subcontinent","Malabar Lark"
"composite-endemics","Others-Subcontinent","Rufous-fronted Prinia"
"composite-endemics","Others-Subcontinent","Jungle Prinia"
"composite-endemics","Others-Subcontinent","Ashy Prinia"
"composite-endemics","Others-Subcontinent","Indian Scimitar Babbler"
"composite-endemics","Others-Subcontinent","Tawny-bellied Babbler"
"composite-endemics","Others-Subcontinent","Large Grey Babbler"
"composite-endemics","Others-Subcontinent","Common Babbler"
"composite-endemics","Others-Subcontinent","Jungle Babbler"
"composite-endemics","Others-Subcontinent","Indian Nuthatch"
"composite-endemics","Others-Subcontinent","Bank Myna"
"composite-endemics","Others-Subcontinent","Indian Robin"
"composite-endemics","Others-Subcontinent","Tickell's Blue Flycatcher"
"composite-habitats","Forests","Red Spurfowl"
"composite-habitats","Forests","Asian Emerald Dove"
"composite-habitats","Forests","Mountain Imperial Pigeon"
"composite-habitats","Forests","Crested Treeswift"
"composite-habitats","Forests","White-rumped Spinetail"
"composite-habitats","Forests","Brown-backed Needletail"
"composite-habitats","Forests","Himalayan Swiftlet"
"composite-habitats","Forests","Alpine Swift"
"composite-habitats","Forests","Crested Serpent Eagle"
"composite-habitats","Forests","Changeable Hawk Eagle"
"composite-habitats","Forests","Black Eagle"
"composite-habitats","Forests","Malabar Trogon"
"composite-habitats","Forests","Heart-spotted Woodpecker"
"composite-habitats","Forests","Himalayan Golden-backed Woodpecker"
"composite-habitats","Forests","White-bellied Woodpecker"
"composite-habitats","Forests","Greater Golden-backed Woodpecker"
"composite-habitats","Forests","Malabar Barbet"
"composite-habitats","Forests","Plum-headed Parakeet"
"composite-habitats","Forests","Malabar Parakeet"
"composite-habitats","Forests","Bar-winged Flycatcher-shrike"
"composite-habitats","Forests","Malabar Woodshrike"
"composite-habitats","Forests","Bronzed Drongo"
"composite-habitats","Forests","Greater Racket-tailed Drongo"
"composite-habitats","Forests","White-bellied Treepie"
"composite-habitats","Forests","Asian Fairy-bluebird"
"composite-habitats","Forests","Flame-throated Bulbul"
"composite-habitats","Forests","Large-billed Leaf Warbler"
"composite-habitats","Forests","Indian Scimitar Babbler"
"composite-habitats","Forests","Dark-fronted Babbler"
"composite-habitats","Forests","Quaker Tit Babbler"
"composite-habitats","Forests","Grey-sided Laughingthrush"
"composite-habitats","Forests","White-bellied Blue Flycatcher"
"composite-habitats","Grassland/Scrub","Rain Quail"
"composite-habitats","Grassland/Scrub","Jungle Bush Quail"
"composite-habitats","Grassland/Scrub","Grey Francolin"
"composite-habitats","Grassland/Scrub","Chestnut-bellied Sandgrouse"
"composite-habitats","Grassland/Scrub","Sirkeer Malkoha"
"composite-habitats","Grassland/Scrub","Yellow-wattled Lapwing"
"composite-habitats","Grassland/Scrub","Indian Courser"
"composite-habitats","Grassland/Scrub","Black-winged Kite"
"composite-habitats","Grassland/Scrub","Egyptian Vulture"
"composite-habitats","Grassland/Scrub","Short-toed Snake Eagle"
"composite-habitats","Grassland/Scrub","Red-headed Vulture"
"composite-habitats","Grassland/Scrub","Indian Vulture"
"composite-habitats","Grassland/Scrub","Griffon Vulture"
"composite-habitats","Grassland/Scrub","Tawny Eagle"
"composite-habitats","Grassland/Scrub","Pallid Harrier"
"composite-habitats","Grassland/Scrub","Montagu's Harrier"
"composite-habitats","Grassland/Scrub","Common Hoopoe"
"composite-habitats","Grassland/Scrub","White-naped Woodpecker"
"composite-habitats","Grassland/Scrub","Indian Roller"
"composite-habitats","Grassland/Scrub","Red-necked Falcon"
"composite-habitats","Grassland/Scrub","Black Drongo"
"composite-habitats","Grassland/Scrub","Bay-backed Shrike"
"composite-habitats","Grassland/Scrub","Great Grey Shrike"
"composite-habitats","Grassland/Scrub","Indian Silverbill"
"composite-habitats","Grassland/Scrub","Richard's Pipit"
"composite-habitats","Grassland/Scrub","Paddyfield Pipit"
"composite-habitats","Grassland/Scrub","Tawny Pipit"
"composite-habitats","Grassland/Scrub","Rufous-tailed Lark"
"composite-habitats","Grassland/Scrub","Ashy-crowned Sparrow Lark"
"composite-habitats","Grassland/Scrub","Indian Bushlark"
"composite-habitats","Grassland/Scrub","Malabar Lark"
"composite-habitats","Grassland/Scrub","Zitting Cisticola"
"composite-habitats","Grassland/Scrub","Rufous-fronted Prinia"
"composite-habitats","Grassland/Scrub","Jungle Prinia"
"composite-habitats","Grassland/Scrub","Yellow-eyed Babbler"
"composite-habitats","Wetlands","Lesser Whistling Duck"
"composite-habitats","Wetlands","Common Pochard"
"composite-habitats","Wetlands","Garganey"
"composite-habitats","Wetlands","Northern Shoveler"
"composite-habitats","Wetlands","Indian Spot-billed Duck"
"composite-habitats","Wetlands","Cotton Teal"
"composite-habitats","Wetlands","Little Grebe"
"composite-habitats","Wetlands","Brown Crake"
"composite-habitats","Wetlands","Common Coot"
"composite-habitats","Wetlands","Sarus Crane"
"composite-habitats","Wetlands","Asian Openbill"
"composite-habitats","Wetlands","Cinnamon Bittern"
"composite-habitats","Wetlands","Black-crowned Night Heron"
"composite-habitats","Wetlands","Striated Heron"
"composite-habitats","Wetlands","Cattle Egret"
"composite-habitats","Wetlands","Grey Heron"
"composite-habitats","Wetlands","Purple Heron"
"composite-habitats","Wetlands","Great Egret"
"composite-habitats","Wetlands","Intermediate Egret"
"composite-habitats","Wetlands","Little Egret"
"composite-habitats","Wetlands","Black-headed Ibis"
"composite-habitats","Wetlands","Glossy Ibis"
"composite-habitats","Wetlands","Little Cormorant"
