Time.Bands,Frequency,SE,Species
2014,0.0038639,0.001419193,Baillon's Crake
2015,0.007653005,0.002748445,Baillon's Crake
2016,0.007785764,0.002787881,Baillon's Crake
2017,0.007951142,0.002832232,Baillon's Crake
2018,0.003047079,0.001102261,Baillon's Crake
2014,NA,NA,Banasura Laughingthrush
2015,NA,NA,Banasura Laughingthrush
2016,NA,NA,Banasura Laughingthrush
2017,NA,NA,Banasura Laughingthrush
2018,NA,NA,Banasura Laughingthrush
2014,0.010437641,0.001490213,Banded Bay Cuckoo
2015,0.00939667,0.001291809,Banded Bay Cuckoo
2016,0.010046257,0.001360261,Banded Bay Cuckoo
2017,0.015115888,0.001967012,Banded Bay Cuckoo
2018,0.013957085,0.001817514,Banded Bay Cuckoo
2014,0.144093715,0.01442275,Bank Myna
2015,0.134620035,0.013472987,Bank Myna
2016,0.111452804,0.011058324,Bank Myna
2017,0.111433723,0.011198704,Bank Myna
2018,0.103168162,0.010363087,Bank Myna
2014,0.06297713,0.057032392,Bar-headed Goose
2015,0.059120592,0.053590544,Bar-headed Goose
2016,0.045862625,0.041552597,Bar-headed Goose
2017,0.053207184,0.048212141,Bar-headed Goose
2018,0.051947794,0.047097469,Bar-headed Goose
2014,0.015809137,0.013557299,Bar-tailed Godwit
2015,0.01790578,0.015136186,Bar-tailed Godwit
2016,0.01548602,0.013159014,Bar-tailed Godwit
2017,0.017929658,0.015347942,Bar-tailed Godwit
2018,0.012355252,0.010534994,Bar-tailed Godwit
2014,0.110008366,0.025356369,Bar-tailed Treecreeper
2015,0.093274845,0.021428388,Bar-tailed Treecreeper
2016,0.073302284,0.01716006,Bar-tailed Treecreeper
2017,0.075918703,0.017673991,Bar-tailed Treecreeper
2018,0.088813753,0.020526201,Bar-tailed Treecreeper
2014,0.020210028,0.002367528,Bar-winged Flycatcher-shrike
2015,0.018681622,0.002145087,Bar-winged Flycatcher-shrike
2016,0.018959875,0.002169182,Bar-winged Flycatcher-shrike
2017,0.019964253,0.002259293,Bar-winged Flycatcher-shrike
2018,0.019145705,0.00216687,Bar-winged Flycatcher-shrike
2014,NA,NA,Bar-winged Wren-Babbler
2015,NA,NA,Bar-winged Wren-Babbler
2016,NA,NA,Bar-winged Wren-Babbler
2017,NA,NA,Bar-winged Wren-Babbler
2018,NA,NA,Bar-winged Wren-Babbler
2014,0.116819009,0.005559703,Barn Swallow
2015,0.131441601,0.006027373,Barn Swallow
2016,0.130153626,0.005999042,Barn Swallow
2017,0.105266375,0.004924875,Barn Swallow
2018,0.111213686,0.005113682,Barn Swallow
2014,0.02743629,0.003171212,Barred Buttonquail
2015,0.02931987,0.00330202,Barred Buttonquail
2016,0.028932652,0.00318375,Barred Buttonquail
2017,0.032374298,0.003487903,Barred Buttonquail
2018,0.030648313,0.003314487,Barred Buttonquail
2014,0.063839324,0.089213526,Barred Cuckoo-Dove
2015,0.064333208,0.089763335,Barred Cuckoo-Dove
2016,0.076898305,0.104902549,Barred Cuckoo-Dove
2017,0.076903219,0.105278977,Barred Cuckoo-Dove
2018,0.068394892,0.094753229,Barred Cuckoo-Dove
2014,0.070407563,0.005637071,Bay-backed Shrike
2015,0.061537932,0.004872934,Bay-backed Shrike
2016,0.059197099,0.004685213,Bay-backed Shrike
2017,0.064889553,0.005151238,Bay-backed Shrike
2018,0.058996951,0.00464935,Bay-backed Shrike
2014,0.075200959,0.063192076,Bay Woodpecker
2015,0.086999923,0.072269494,Bay Woodpecker
2016,0.066120431,0.056042785,Bay Woodpecker
2017,0.082433095,0.068822655,Bay Woodpecker
2018,0.065250707,0.05489685,Bay Woodpecker
2014,0.134334398,0.008508927,Baya Weaver
2015,0.110385063,0.00701436,Baya Weaver
2016,0.116965656,0.007331924,Baya Weaver
2017,0.11256932,0.007155545,Baya Weaver
2018,0.117118294,0.007377221,Baya Weaver
2014,0.154222994,0.039461886,Bearded Vulture
2015,0.096399559,0.025271355,Bearded Vulture
2016,0.108424249,0.027958326,Bearded Vulture
2017,0.117523992,0.030218782,Bearded Vulture
2018,0.096995053,0.025264299,Bearded Vulture
2014,NA,NA,Beautiful Nuthatch
2015,NA,NA,Beautiful Nuthatch
2016,NA,NA,Beautiful Nuthatch
2017,NA,NA,Beautiful Nuthatch
2018,NA,NA,Beautiful Nuthatch
2014,NA,NA,Beautiful Sibia
2015,NA,NA,Beautiful Sibia
2016,NA,NA,Beautiful Sibia
2017,NA,NA,Beautiful Sibia
2018,NA,NA,Beautiful Sibia
2014,0.093721686,0.016670301,Bengal Bushlark
2015,0.060166796,0.010972487,Bengal Bushlark
2016,0.073490932,0.013254978,Bengal Bushlark
2017,0.087920241,0.01555121,Bengal Bushlark
2018,0.073998126,0.013245565,Bengal Bushlark
2014,NA,NA,Bengal Florican
2015,NA,NA,Bengal Florican
2016,NA,NA,Bengal Florican
2017,NA,NA,Bengal Florican
2018,NA,NA,Bengal Florican
2014,0.046372411,0.008374856,Bengal Weaver
2015,0.06151139,0.010657332,Bengal Weaver
2016,0.041526056,0.007273857,Bengal Weaver
2017,0.046068886,0.007827567,Bengal Weaver
2018,0.044424416,0.007623843,Bengal Weaver
2014,NA,NA,Besra
2015,NA,NA,Besra
2016,NA,NA,Besra
2017,NA,NA,Besra
2018,NA,NA,Besra
2014,0.045225546,0.023166938,Bhutan Laughingthrush
2015,0.030557568,0.01567271,Bhutan Laughingthrush
2016,0.044295809,0.02230734,Bhutan Laughingthrush
2017,0.03234632,0.016220813,Bhutan Laughingthrush
2018,0.052835371,0.02601135,Bhutan Laughingthrush
2014,0.002456625,0.000679407,Black-and-orange Flycatcher
2015,0.00214849,0.000590132,Black-and-orange Flycatcher
2016,0.002006754,0.00055373,Black-and-orange Flycatcher
2017,0.002723432,0.000745362,Black-and-orange Flycatcher
2018,0.003296811,0.000898617,Black-and-orange Flycatcher
2014,NA,NA,Black-and-yellow Grosbeak
2015,NA,NA,Black-and-yellow Grosbeak
2016,NA,NA,Black-and-yellow Grosbeak
2017,NA,NA,Black-and-yellow Grosbeak
2018,NA,NA,Black-and-yellow Grosbeak
2014,0.016504718,0.011960838,Black-backed Dwarf-Kingfisher
2015,0.015587119,0.011360317,Black-backed Dwarf-Kingfisher
2016,0.017424228,0.012648621,Black-backed Dwarf-Kingfisher
2017,0.022046526,0.015956696,Black-backed Dwarf-Kingfisher
2018,0.034372944,0.02458857,Black-backed Dwarf-Kingfisher
2014,0.132928099,0.223272873,Black-backed Forktail
2015,0.115985579,0.243833185,Black-backed Forktail
2016,0.125564208,0.231951776,Black-backed Forktail
2017,0.12650925,0.229869794,Black-backed Forktail
2018,0.13399708,0.22055343,Black-backed Forktail
2014,0.013882326,0.00657808,Black-bellied Plover
2015,0.012325733,0.00580669,Black-bellied Plover
2016,0.014647084,0.00689035,Black-bellied Plover
2017,0.012230488,0.00579026,Black-bellied Plover
2018,0.01161779,0.005492827,Black-bellied Plover
2014,NA,NA,Black-bellied Tern
2015,NA,NA,Black-bellied Tern
2016,NA,NA,Black-bellied Tern
2017,NA,NA,Black-bellied Tern
2018,NA,NA,Black-bellied Tern
2014,NA,NA,Black-breasted Parrotbill
2015,NA,NA,Black-breasted Parrotbill
2016,NA,NA,Black-breasted Parrotbill
2017,NA,NA,Black-breasted Parrotbill
2018,NA,NA,Black-breasted Parrotbill
2014,0.063731145,0.020759313,Black-breasted Tit
2015,0.062938846,0.020220619,Black-breasted Tit
2016,0.058686174,0.018837858,Black-breasted Tit
2017,0.041910254,0.013533758,Black-breasted Tit
2018,0.048297825,0.01562746,Black-breasted Tit
2014,NA,NA,Black-browed Tit
2015,NA,NA,Black-browed Tit
2016,NA,NA,Black-browed Tit
2017,NA,NA,Black-browed Tit
2018,NA,NA,Black-browed Tit
2014,0.011688196,0.00325247,Black-capped Kingfisher
2015,0.010310948,0.002860975,Black-capped Kingfisher
2016,0.011748335,0.003238982,Black-capped Kingfisher
2017,0.009564368,0.002656093,Black-capped Kingfisher
2018,0.008713952,0.002397528,Black-capped Kingfisher
2014,0.03024749,0.006356179,Black-chinned Babbler
2015,0.038506881,0.007884567,Black-chinned Babbler
2016,0.034906049,0.007086368,Black-chinned Babbler
2017,0.043786255,0.00880944,Black-chinned Babbler
2018,0.04167051,0.008336671,Black-chinned Babbler
2014,0.032445955,0.021847306,Black-chinned Yuhina
2015,0.040749977,0.027290474,Black-chinned Yuhina
2016,0.036205698,0.024386968,Black-chinned Yuhina
2017,0.034172231,0.022965191,Black-chinned Yuhina
2018,0.033323427,0.022376981,Black-chinned Yuhina
2014,0.096266034,0.015919503,Black-crested Bulbul
2015,0.094765114,0.015387285,Black-crested Bulbul
2016,0.110693475,0.017589219,Black-crested Bulbul
2017,0.106658095,0.016993143,Black-crested Bulbul
2018,0.120433195,0.019028265,Black-crested Bulbul
2014,0.063306724,0.004139774,Black-crowned Night-Heron
2015,0.069770025,0.004396437,Black-crowned Night-Heron
2016,0.059531563,0.003762841,Black-crowned Night-Heron
2017,0.060800278,0.003778867,Black-crowned Night-Heron
2018,0.061898523,0.003851745,Black-crowned Night-Heron
2014,0.026846115,0.008335056,Black-faced Warbler
2015,0.028819925,0.008681689,Black-faced Warbler
2016,0.030123118,0.00897772,Black-faced Warbler
2017,0.033497511,0.009978947,Black-faced Warbler
2018,0.027451589,0.008089264,Black-faced Warbler
2014,0.02058677,0.004983783,Black-headed Bunting
2015,0.023295894,0.005458937,Black-headed Bunting
2016,0.03001038,0.006800561,Black-headed Bunting
2017,0.03008122,0.006718121,Black-headed Bunting
2018,0.03996164,0.008883935,Black-headed Bunting
2014,0.021830233,0.002142621,Black-headed Cuckooshrike
2015,0.021996896,0.002090676,Black-headed Cuckooshrike
2016,0.022413101,0.002111117,Black-headed Cuckooshrike
2017,0.023765041,0.002224857,Black-headed Cuckooshrike
2018,0.024007337,0.002221432,Black-headed Cuckooshrike
2014,0.020776752,0.003117952,Black-headed Gull
2015,0.022996468,0.003334083,Black-headed Gull
2016,0.015659614,0.00231186,Black-headed Gull
2017,0.017300592,0.002509355,Black-headed Gull
2018,0.017812101,0.002605364,Black-headed Gull
2014,0.115766047,0.00764925,Black-headed Ibis
2015,0.117986639,0.007567232,Black-headed Ibis
2016,0.112001667,0.007132325,Black-headed Ibis
2017,0.100436242,0.006492586,Black-headed Ibis
2018,0.108192541,0.006976223,Black-headed Ibis
2014,0.058459206,0.01524488,Black-headed Jay
2015,0.071162675,0.017678832,Black-headed Jay
2016,0.05251366,0.01322148,Black-headed Jay
2017,0.055893406,0.01392653,Black-headed Jay
2018,0.06426519,0.015976304,Black-headed Jay
2014,NA,NA,Black-headed Shrike-Babbler
2015,NA,NA,Black-headed Shrike-Babbler
2016,NA,NA,Black-headed Shrike-Babbler
2017,NA,NA,Black-headed Shrike-Babbler
2018,NA,NA,Black-headed Shrike-Babbler
2014,0.143591335,0.013037364,Black-hooded Oriole
2015,0.150854073,0.013394196,Black-hooded Oriole
2016,0.140230615,0.012485836,Black-hooded Oriole
2017,0.14596885,0.012984657,Black-hooded Oriole
2018,0.145402813,0.012938444,Black-hooded Oriole
2014,0.059860516,0.005313319,Black-naped Monarch
2015,0.06208865,0.005511785,Black-naped Monarch
2016,0.055140832,0.004882557,Black-naped Monarch
2017,0.063279037,0.005509982,Black-naped Monarch
2018,0.058500521,0.005101998,Black-naped Monarch
2014,0.017046891,0.005256526,Black-naped Oriole
2015,0.018401314,0.005581977,Black-naped Oriole
2016,0.017886134,0.005383665,Black-naped Oriole
2017,0.015598397,0.004701634,Black-naped Oriole
2018,0.014475477,0.004315366,Black-naped Oriole
2014,NA,NA,Black-necked Crane
2015,NA,NA,Black-necked Crane
2016,NA,NA,Black-necked Crane
2017,NA,NA,Black-necked Crane
2018,NA,NA,Black-necked Crane
2014,0.054635821,0.009771381,Black-necked Stork
2015,0.041124326,0.007353179,Black-necked Stork
2016,0.02767924,0.004955035,Black-necked Stork
2017,0.036643426,0.006489326,Black-necked Stork
2018,0.032642664,0.005764938,Black-necked Stork
2014,0.10771739,0.006157019,Black-rumped Flameback
2015,0.117338229,0.006558901,Black-rumped Flameback
2016,0.115915165,0.00646048,Black-rumped Flameback
2017,0.120638118,0.006674204,Black-rumped Flameback
2018,0.128638992,0.007113979,Black-rumped Flameback
2014,NA,NA,Black-tailed Crake
2015,NA,NA,Black-tailed Crake
2016,NA,NA,Black-tailed Crake
2017,NA,NA,Black-tailed Crake
2018,NA,NA,Black-tailed Crake
2014,0.034072199,0.004371079,Black-tailed Godwit
2015,0.031831925,0.004009654,Black-tailed Godwit
2016,0.038341302,0.004806129,Black-tailed Godwit
2017,0.029359919,0.003703575,Black-tailed Godwit
2018,0.032648432,0.004076747,Black-tailed Godwit
2014,NA,NA,Black-throated Accentor
2015,NA,NA,Black-throated Accentor
2016,NA,NA,Black-throated Accentor
2017,NA,NA,Black-throated Accentor
2018,NA,NA,Black-throated Accentor
2014,0.010185594,0.00234069,Black-throated Munia
2015,0.008936955,0.001997322,Black-throated Munia
2016,0.009060282,0.002019829,Black-throated Munia
2017,0.008975993,0.001994451,Black-throated Munia
2018,0.009316217,0.002073741,Black-throated Munia
2014,NA,NA,Black-throated Parrotbill
2015,NA,NA,Black-throated Parrotbill
2016,NA,NA,Black-throated Parrotbill
2017,NA,NA,Black-throated Parrotbill
2018,NA,NA,Black-throated Parrotbill
2014,NA,NA,Black-throated Prinia
2015,NA,NA,Black-throated Prinia
2016,NA,NA,Black-throated Prinia
2017,NA,NA,Black-throated Prinia
2018,NA,NA,Black-throated Prinia
2014,0.036450866,0.011639403,Black-throated Sunbird
2015,0.023697791,0.007618339,Black-throated Sunbird
2016,0.045143486,0.01415401,Black-throated Sunbird
2017,0.041068959,0.012903045,Black-throated Sunbird
2018,0.049967499,0.015573905,Black-throated Sunbird
2014,0.089558677,0.015945426,Black-throated Tit
2015,0.09146737,0.015887062,Black-throated Tit
2016,0.069169152,0.012038358,Black-throated Tit
2017,0.075561512,0.013155182,Black-throated Tit
2018,0.071229265,0.012451106,Black-throated Tit
2014,0.023210834,0.008901445,Black-winged Cuckooshrike
2015,0.025655394,0.009839925,Black-winged Cuckooshrike
2016,0.031632125,0.012020665,Black-winged Cuckooshrike
2017,0.03152769,0.011930622,Black-winged Cuckooshrike
2018,0.030831122,0.011691383,Black-winged Cuckooshrike
2014,0.153893756,0.008446911,Black-winged Kite
2015,0.140209225,0.007524808,Black-winged Kite
2016,0.133792582,0.007160561,Black-winged Kite
2017,0.123563673,0.006637407,Black-winged Kite
2018,0.124767254,0.0067015,Black-winged Kite
2014,0.125897542,0.009250559,Black-winged Stilt
2015,0.12935762,0.009371108,Black-winged Stilt
2016,0.134903884,0.009757671,Black-winged Stilt
2017,0.11564877,0.008478256,Black-winged Stilt
2018,0.130916107,0.00946616,Black-winged Stilt
2014,0.009197784,0.00851927,Black Baza
2015,0.007970488,0.007410622,Black Baza
2016,0.006822557,0.006334363,Black Baza
2017,0.010255568,0.009461511,Black Baza
2018,0.007458863,0.006904682,Black Baza
2014,0.034393572,0.004372479,Black Bittern
2015,0.036294997,0.004410683,Black Bittern
2016,0.029365837,0.003602163,Black Bittern
2017,0.020081043,0.002479382,Black Bittern
2018,0.020357434,0.002503703,Black Bittern
2014,0.107913607,0.015353832,Black Bulbul
2015,0.116825266,0.016025684,Black Bulbul
2016,0.111534957,0.015667229,Black Bulbul
2017,0.11257525,0.015496787,Black Bulbul
2018,0.131615555,0.017972651,Black Bulbul
2014,0.483147848,0.014596373,Black Drongo
2015,0.443107639,0.013871992,Black Drongo
2016,0.420944634,0.013429208,Black Drongo
2017,0.436453227,0.013735484,Black Drongo
2018,0.434352493,0.013616257,Black Drongo
2014,0.02707598,0.002515354,Black Eagle
2015,0.024408339,0.002200397,Black Eagle
2016,0.024895024,0.002224736,Black Eagle
2017,0.02205711,0.001963484,Black Eagle
2018,0.021711854,0.001931001,Black Eagle
2014,0.069852126,0.01078885,Black Francolin
2015,0.066459868,0.010087142,Black Francolin
2016,0.063037407,0.00953151,Black Francolin
2017,0.069042282,0.010196917,Black Francolin
2018,0.07502891,0.010998539,Black Francolin
2014,0.23053892,0.011011233,Black Kite
2015,0.225788831,0.0106557,Black Kite
2016,0.208157695,0.0100143,Black Kite
2017,0.218929345,0.01039365,Black Kite
2018,0.222371425,0.010495542,Black Kite
2014,0.086212975,0.010483368,Black Redstart
2015,0.077284797,0.009459394,Black Redstart
2016,0.074874744,0.009127879,Black Redstart
2017,0.075299531,0.00914102,Black Redstart
2018,0.075958115,0.009134084,Black Redstart
2014,0.023960998,0.0050734,Black Stork
2015,0.011970143,0.002521321,Black Stork
2016,0.012439969,0.002626985,Black Stork
2017,0.013903763,0.002890612,Black Stork
2018,0.01820589,0.003783454,Black Stork
2014,NA,NA,Blackish-breasted Babbler
2015,NA,NA,Blackish-breasted Babbler
2016,NA,NA,Blackish-breasted Babbler
2017,NA,NA,Blackish-breasted Babbler
2018,NA,NA,Blackish-breasted Babbler
2014,NA,NA,Blood Pheasant
2015,NA,NA,Blood Pheasant
2016,NA,NA,Blood Pheasant
2017,NA,NA,Blood Pheasant
2018,NA,NA,Blood Pheasant
2014,0.025826232,0.003452621,Blue-bearded Bee-eater
2015,0.020720188,0.002720146,Blue-bearded Bee-eater
2016,0.022767545,0.00298666,Blue-bearded Bee-eater
2017,0.02278219,0.002986238,Blue-bearded Bee-eater
2018,0.024195945,0.003168174,Blue-bearded Bee-eater
2014,0.044170904,0.017128711,Blue-capped Redstart
2015,0.076092699,0.028614521,Blue-capped Redstart
2016,0.046329851,0.017714107,Blue-capped Redstart
2017,0.051691126,0.019618185,Blue-capped Redstart
2018,0.057119025,0.021637839,Blue-capped Redstart
2014,0.021039299,0.003096597,Blue-capped Rock-Thrush
2015,0.019513174,0.002878237,Blue-capped Rock-Thrush
2016,0.020472553,0.002995148,Blue-capped Rock-Thrush
2017,0.017645933,0.00258649,Blue-capped Rock-Thrush
2018,0.020185941,0.002930308,Blue-capped Rock-Thrush
2014,0.080762473,0.024249162,Blue-cheeked Bee-eater
2015,0.082591137,0.024355794,Blue-cheeked Bee-eater
2016,0.065887741,0.019654479,Blue-cheeked Bee-eater
2017,0.054442772,0.016243324,Blue-cheeked Bee-eater
2018,0.052607857,0.015861284,Blue-cheeked Bee-eater
2014,0.065500452,0.041616684,Blue-eared Barbet
2015,0.044295,0.028311451,Blue-eared Barbet
2016,0.092710689,0.058049445,Blue-eared Barbet
2017,0.061645535,0.039072461,Blue-eared Barbet
2018,0.073048824,0.045993335,Blue-eared Barbet
2014,0.028753218,0.00845632,Blue-eared Kingfisher
2015,0.020324307,0.005960686,Blue-eared Kingfisher
